,index,pl_name,hostname,sy_snum,sy_pnum,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
33,118,61 Vir c,61 Vir,1,3,0.96,0.01,-0.01,0.0,0.94,0.03,-0.03,0.0
34,120,61 Vir d,61 Vir,1,3,0.96,0.01,-0.01,0.0,0.94,0.03,-0.03,0.0
35,121,7 CMa b,7 CMa,1,2,4.91,,,0.0,,,,
36,124,7 CMa c,7 CMa,1,2,4.87,0.17,-0.14,0.0,1.34,0.11,-0.12,0.0
37,125,70 Vir b,70 Vir,1,1,1.89,,,0.0,1.09,,,0.0
38,131,75 Cet b,75 Cet,2,1,10.5,1.0,-1.0,0.0,2.49,0.02,-0.27,0.0
39,132,8 UMi b,8 UMi,1,1,9.9,0.4,-0.4,0.0,1.8,0.1,-0.1,0.0
40,134,81 Cet b,81 Cet,1,1,,,,,1.6,0.4,-0.2,0.0
41,136,91 Aqr b,91 Aqr,3,1,11.0,0.1,-0.1,0.0,1.4,0.1,-0.1,0.0
42,137,AB Pic b,AB Pic,1,1,,,,,,,,
43,138,AU Mic b,AU Mic,1,2,0.75,0.03,-0.03,0.0,0.5,0.03,-0.03,0.0
44,140,AU Mic c,AU Mic,1,2,0.75,0.03,-0.03,0.0,0.5,0.03,-0.03,0.0
45,141,BD+03 2562 b,BD+03 2562,1,1,32.35,8.82,-8.82,0.0,1.14,0.25,-0.25,0.0
46,142,BD+14 4559 b,BD+14 4559,1,1,0.95,0.2,-0.2,0.0,0.86,0.15,-0.15,0.0
47,144,BD+15 2375 b,BD+15 2375,1,1,8.95,1.45,-1.45,0.0,1.08,0.14,-0.14,0.0
48,145,BD+15 2940 b,BD+15 2940,1,1,14.7,2.8,-2.8,0.0,1.1,0.2,-0.2,0.0
49,146,BD+20 2457 b,BD+20 2457,1,2,49.0,26.0,-26.0,0.0,2.8,1.5,-1.5,0.0
50,148,BD+20 2457 c,BD+20 2457,1,2,49.0,26.0,-26.0,0.0,2.8,1.5,-1.5,0.0
51,149,BD+20 274 b,BD+20 274,1,1,17.3,0.9,-0.9,0.0,0.8,0.2,-0.2,0.0
52,150,BD+20 594 b,BD+20 594,1,1,0.93,0.06,-0.04,0.0,0.96,0.03,-0.03,0.0
53,154,BD+45 564 b,BD+45 564,1,1,,,,,0.81,0.07,-0.07,0.0
54,155,BD+48 738 b,BD+48 738,1,1,11.0,1.0,-1.0,0.0,0.74,0.39,-0.39,0.0
55,156,BD+48 740 b,BD+48 740,1,1,10.33,1.81,-1.81,0.0,1.09,0.16,-0.16,0.0
56,157,BD+49 828 b,BD+49 828,1,1,7.6,1.3,-1.3,0.0,1.52,0.22,-0.22,0.0
57,158,BD+55 362 b,BD+55 362,1,1,,,,,0.91,0.1,-0.1,0.0
58,159,BD+63 1405 b,BD+63 1405,1,1,,,,,0.82,0.08,-0.08,0.0
59,160,BD-00 4475 b,BD-00 4475,1,1,,,,,0.81,0.1,-0.1,0.0
60,161,BD-06 1339 b,BD-06 1339,1,2,,,,,0.7,,,0.0
61,162,BD-06 1339 c,BD-06 1339,1,2,,,,,0.7,,,0.0
62,163,BD-08 2823 b,BD-08 2823,1,2,,,,,0.74,0.07,-0.07,0.0
63,165,BD-08 2823 c,BD-08 2823,1,2,,,,,0.74,0.07,-0.07,0.0
64,166,BD-10 3166 b,BD-10 3166,1,1,,,,,1.1,0.1,-0.1,0.0
65,170,BD-11 4672 b,BD-11 4672,1,2,0.64,0.02,-0.02,0.0,0.65,0.03,-0.03,0.0
66,172,BD-11 4672 c,BD-11 4672,1,2,0.64,0.02,-0.02,0.0,0.65,0.03,-0.03,0.0
67,173,BD-13 2130 b,BD-13 2130,1,1,19.17,4.96,-4.96,0.0,2.12,1.47,-1.47,0.0
68,175,BD-17 63 b,BD-17 63,1,1,0.69,,,0.0,0.74,0.03,-0.03,0.0
69,177,CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,,,,,0.02,0.01,-0.01,0.0
70,178,CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,0.24,0.01,-0.01,0.0,0.01,0.0,0.0,0.0
71,179,CHXR 73 b,CHXR 73,1,1,,,,,0.35,,,0.0
72,180,CI Tau b,CI Tau,1,1,,,,,0.9,0.02,-0.02,0.0
73,181,COCONUTS-2 b,COCONUTS-2 A,1,1,0.39,0.01,-0.01,0.0,0.37,0.02,-0.02,0.0
74,182,CT Cha b,CT Cha,1,1,,,,,,,,
75,183,CoRoT-1 b,CoRoT-1,1,1,,,,,,,,
76,188,CoRoT-10 b,CoRoT-10,1,1,0.79,0.05,-0.05,0.0,0.89,0.05,-0.05,0.0
77,191,CoRoT-11 b,CoRoT-11,1,1,1.37,0.06,-0.06,0.0,1.26,0.14,-0.14,0.0
78,196,CoRoT-12 b,CoRoT-12,1,1,1.05,0.05,-0.05,0.0,1.0,0.1,-0.1,0.0
79,200,CoRoT-13 b,CoRoT-13,1,1,1.27,0.08,-0.08,0.0,1.09,0.09,-0.09,0.0
80,203,CoRoT-14 b,CoRoT-14,1,1,1.19,0.14,-0.14,0.0,1.12,0.1,-0.1,0.0
81,206,CoRoT-16 b,CoRoT-16,1,1,1.19,0.14,-0.13,0.0,1.1,0.08,-0.08,0.0
82,208,CoRoT-17 b,CoRoT-17,1,1,1.62,0.47,-0.13,0.0,1.04,0.07,-0.05,0.0
83,211,CoRoT-18 b,CoRoT-18,1,1,1.0,0.13,-0.13,0.0,0.95,0.15,-0.15,0.0
84,215,CoRoT-19 b,CoRoT-19,1,1,1.65,0.04,-0.04,0.0,1.21,0.05,-0.05,0.0
85,218,CoRoT-2 b,CoRoT-2,2,1,0.9,0.02,-0.02,0.0,0.97,0.06,-0.06,0.0
86,226,CoRoT-20 b,CoRoT-20,1,2,,,,,1.14,0.08,-0.08,0.0
