,pl_name,sy_snum,sy_pnum,st_mass
163,GJ 1151 b,1,1,
164,GJ 1214 b,1,1,
165,GJ 1252 b,1,1,0.38
166,GJ 1265 b,1,1,0.18
167,GJ 143 b,1,2,0.76
168,GJ 15 A b,2,2,0.4
169,GJ 15 A c,2,2,0.38
170,GJ 160.2 b,1,1,0.69
171,GJ 163 b,1,3,
172,GJ 163 c,1,3,
173,GJ 163 d,1,3,
174,GJ 179 b,1,1,0.39
175,GJ 180 b,1,3,0.43
176,GJ 180 c,1,3,0.43
177,GJ 180 d,1,3,0.43
178,GJ 2056 b,1,1,0.62
179,GJ 229 A c,2,2,0.58
180,GJ 229 b,2,2,0.58
181,GJ 251 b,1,1,0.36
182,GJ 27.1 b,1,1,0.53
183,GJ 273 b,1,2,0.29
184,GJ 273 c,1,2,0.29
185,GJ 3021 b,2,1,0.9
186,GJ 3082 b,1,1,0.47
187,GJ 3138 b,1,3,0.68
188,GJ 3138 c,1,3,0.68
189,GJ 3138 d,1,3,0.68
190,GJ 317 b,1,2,0.42
191,GJ 317 c,1,2,0.42
192,GJ 328 b,1,1,0.69
193,GJ 3293 b,1,4,0.42
194,GJ 3293 c,1,4,0.42
195,GJ 3293 d,1,4,0.42
196,GJ 3293 e,1,4,0.42
197,GJ 3323 b,1,2,0.16
198,GJ 3323 c,1,2,0.16
199,GJ 3341 b,1,1,0.47
200,GJ 338 B b,2,1,0.64
201,GJ 3470 b,1,1,0.56
202,GJ 3473 b,2,2,
203,GJ 3473 c,2,2,0.36
204,GJ 3512 b,1,1,0.12
205,GJ 357 b,1,3,0.34
206,GJ 357 c,1,3,0.34
207,GJ 357 d,1,3,0.34
208,GJ 3634 b,1,1,0.45
209,GJ 3779 b,1,1,0.27
210,GJ 393 b,1,1,0.43
211,GJ 3942 b,1,1,0.63
212,GJ 3998 b,1,2,0.5
213,GJ 3998 c,1,2,0.5
214,GJ 411 b,1,2,0.39
215,GJ 414 A b,2,2,0.65
216,GJ 414 A c,2,2,0.69
217,GJ 422 b,1,1,0.35
218,GJ 4276 b,1,1,0.41
219,GJ 433 b,1,3,0.48
220,GJ 433 c,1,3,0.48
221,GJ 433 d,1,3,0.48
222,GJ 436 b,1,1,0.47
223,GJ 480 b,1,1,0.45
224,GJ 486 b,1,1,0.32
225,GJ 504 b,1,1,1.22
226,GJ 536 b,1,1,0.51
227,GJ 581 b,1,3,0.31
228,GJ 581 c,1,3,0.31
229,GJ 581 e,1,3,
230,GJ 625 b,1,1,0.3
231,GJ 649 b,1,1,0.54
232,GJ 667 C b,3,5,
233,GJ 667 C c,3,5,0.33
234,GJ 667 C e,3,5,0.33
235,GJ 667 C f,3,5,0.33
236,GJ 667 C g,3,5,0.33
237,GJ 674 b,1,1,0.35
238,GJ 676 A b,2,4,
239,GJ 676 A c,2,4,
240,GJ 676 A d,2,4,
241,GJ 676 A e,2,4,
242,GJ 682 b,1,2,0.27
243,GJ 682 c,1,2,0.27
244,GJ 685 b,1,1,0.55
245,GJ 687 b,1,2,0.42
246,GJ 687 c,1,2,0.4
247,GJ 720 A b,2,1,0.57
248,GJ 740 b,1,1,0.58
249,GJ 832 b,1,2,0.45
250,GJ 832 c,1,2,0.45
251,GJ 849 b,1,2,0.49
252,GJ 849 c,1,2,0.5
253,GJ 86 b,2,1,0.77
254,GJ 876 b,1,4,0.33
255,GJ 876 c,1,4,0.34
256,GJ 876 d,1,4,0.37
257,GJ 876 e,1,4,0.32
258,GJ 887 b,1,2,0.49
259,GJ 887 c,1,2,0.49
260,GJ 9066 b,1,2,0.15
261,GJ 9066 c,1,2,0.15
262,GJ 96 b,1,1,0.6
263,GJ 9827 b,1,3,0.61
264,GJ 9827 c,1,3,0.64
265,GJ 9827 d,1,3,0.66
266,GPX-1 b,1,1,1.68
267,GQ Lup b,1,1,
268,GSC 06214-00210 b,1,1,0.9
269,GU Psc b,1,1,0.33
270,Gl 378 b,1,1,0.56
271,Gl 49 b,2,1,0.52
272,Gl 686 b,1,1,0.43
273,HAT-P-1 b,2,1,1.13
274,HAT-P-11 b,1,2,0.81
275,HAT-P-11 c,1,2,0.81
276,HAT-P-12 b,1,1,0.74
277,HAT-P-13 b,1,2,1.22
278,HAT-P-13 c,1,2,1.32
279,HAT-P-14 b,2,1,1.42
280,HAT-P-15 b,1,1,1.01
281,HAT-P-16 b,3,1,1.22
282,HAT-P-17 b,1,2,0.86
283,HAT-P-17 c,1,2,0.92
284,HAT-P-18 b,1,1,0.77
285,HAT-P-19 b,1,1,0.83
286,HAT-P-2 b,1,1,
287,HAT-P-20 b,1,1,0.76
288,HAT-P-21 b,1,1,0.95
289,HAT-P-22 b,2,1,0.92
290,HAT-P-23 b,1,1,1.13
291,HAT-P-24 b,2,1,1.19
292,HAT-P-25 b,1,1,1.01
293,HAT-P-26 b,1,1,1.12
294,HAT-P-27 b,2,1,0.94
295,HAT-P-28 b,1,1,1.02
296,HAT-P-29 b,2,1,1.21
297,HAT-P-3 b,2,1,0.93
298,HAT-P-30 b,2,1,
299,HAT-P-31 b,1,1,1.22
300,HAT-P-32 b,2,1,1.16
301,HAT-P-33 b,2,1,1.82
302,HAT-P-34 b,1,1,1.39
303,HAT-P-35 b,3,1,23.56
304,HAT-P-36 b,1,1,1.05
305,HAT-P-37 b,1,1,
306,HAT-P-38 b,1,1,0.89
307,HAT-P-39 b,2,1,1.4
