,pl_name,sy_snum,sy_pnum,st_mass
752,HD 216770 b,1,1,0.9
753,HD 21693 b,1,2,0.8
754,HD 21693 c,1,2,0.8
755,HD 217107 b,1,2,1.0
756,HD 217107 c,1,2,1.02
757,HD 21749 c,1,2,
758,HD 217786 b,2,1,1.02
759,HD 217850 b,1,1,1.03
760,HD 218566 b,1,1,0.86
761,HD 219077 b,1,1,1.51
762,HD 219134 b,1,6,0.81
763,HD 219134 c,1,6,0.78
764,HD 219134 d,1,6,0.79
765,HD 219134 f,1,6,0.81
766,HD 219134 g,1,6,0.79
767,HD 219134 h,1,6,0.79
768,HD 219415 b,1,1,1.0
769,HD 219666 b,1,1,
770,HD 219828 b,1,2,1.24
771,HD 219828 c,1,2,1.23
772,HD 220074 b,1,1,1.2
773,HD 220197 b,1,1,0.91
774,HD 220689 b,1,1,1.04
775,HD 220773 b,1,1,1.16
776,HD 220842 b,2,1,1.13
777,HD 221287 b,1,1,1.25
778,HD 221416 b,1,1,
779,HD 221420 b,1,1,1.35
780,HD 221585 b,1,1,1.19
781,HD 222076 b,1,1,1.07
782,HD 222155 b,1,1,1.21
783,HD 222582 b,2,1,1.12
784,HD 224538 b,1,1,1.34
785,HD 224693 b,1,1,1.33
786,HD 22496 b,1,1,0.68
787,HD 22781 b,1,1,0.75
788,HD 23079 b,1,1,1.1
789,HD 23127 b,1,1,1.42
790,HD 231701 b,1,1,1.14
791,HD 233604 b,1,1,1.5
792,HD 233832 b,2,1,0.71
793,HD 23472 b,1,2,
794,HD 23472 c,1,2,0.75
795,HD 23596 b,2,1,1.16
796,HD 238090 b,1,1,0.58
797,HD 238914 b,1,1,1.47
798,HD 240210 b,1,1,0.82
799,HD 240237 b,1,1,1.69
800,HD 24040 b,1,2,1.18
801,HD 24040 c,1,2,1.1
802,HD 24064 b,1,1,1.0
803,HD 24085 b,1,1,1.22
804,HD 25015 b,1,1,0.86
805,HD 25171 b,2,1,1.09
806,HD 26161 b,1,1,1.13
807,HD 2638 b,3,1,0.93
808,HD 2685 b,1,1,
809,HD 26965 b,3,1,0.78
810,HD 27442 b,2,1,1.2
811,HD 27631 b,1,1,0.94
812,HD 27894 b,1,3,
813,HD 27894 c,1,3,0.8
814,HD 27894 d,1,3,0.8
815,HD 27969 b,1,1,1.16
816,HD 28185 b,1,1,1.02
817,HD 28254 b,2,1,1.06
818,HD 285507 b,1,1,0.73
819,HD 285968 b,1,1,0.51
820,HD 28678 b,1,1,1.53
821,HD 29021 b,1,1,0.85
822,HD 290327 b,1,1,0.9
823,HD 2952 b,1,1,1.97
824,HD 30177 b,1,2,1.05
825,HD 30177 c,1,2,0.99
826,HD 30562 b,1,1,1.23
827,HD 30669 b,1,1,0.92
828,HD 30856 b,2,1,1.17
829,HD 31253 b,1,1,1.7
830,HD 31527 b,1,3,0.96
831,HD 31527 c,1,3,0.96
832,HD 31527 d,1,3,0.96
833,HD 3167 b,1,3,0.86
834,HD 3167 c,1,3,0.88
835,HD 3167 d,1,3,0.86
836,HD 32518 b,1,1,1.13
837,HD 32963 b,1,1,0.94
838,HD 330075 b,1,1,0.47
839,HD 331093 b,1,1,1.03
840,HD 33142 b,1,2,1.41
841,HD 33142 c,1,2,1.62
842,HD 332231 b,1,1,1.13
843,HD 33283 b,2,1,1.38
844,HD 33564 b,1,1,1.25
845,HD 33844 b,1,2,1.78
846,HD 33844 c,1,2,1.78
847,HD 34445 b,1,6,1.11
848,HD 34445 c,1,6,1.07
849,HD 34445 d,1,6,1.07
850,HD 34445 e,1,6,1.07
851,HD 34445 f,1,6,1.07
852,HD 34445 g,1,6,1.07
853,HD 35759 b,1,1,1.15
854,HD 3651 b,1,1,0.9
855,HD 37124 b,1,3,0.78
856,HD 37124 c,1,3,0.78
857,HD 37124 d,1,3,0.78
858,HD 37605 b,1,2,
859,HD 37605 c,1,2,1.0
860,HD 3765 b,1,1,0.85
861,HD 38283 b,1,1,1.37
862,HD 38529 b,2,2,1.53
863,HD 38529 c,2,2,1.41
864,HD 38801 b,1,1,1.29
865,HD 39091 b,1,2,1.09
866,HD 39855 b,1,1,0.87
867,HD 40307 b,1,5,0.79
868,HD 40307 c,1,5,0.79
869,HD 40307 d,1,5,0.77
870,HD 40307 f,1,5,0.77
871,HD 40307 g,1,5,0.77
872,HD 40956 b,1,1,2.0
873,HD 40979 b,3,1,1.16
874,HD 41004 A b,2,2,
875,HD 41004 B b,2,2,
876,HD 4113 b,3,1,0.99
877,HD 42012 b,1,1,0.83
878,HD 4203 b,1,2,1.25
879,HD 4203 c,1,2,0.99
880,HD 4208 b,1,1,0.88
881,HD 42618 b,1,1,0.92
882,HD 4308 b,1,1,0.93
883,HD 4313 b,1,1,1.72
884,HD 43197 b,1,1,0.96
885,HD 43691 b,3,1,1.38
886,HD 44219 b,1,1,1.0
887,HD 45184 b,1,2,1.03
888,HD 45184 c,1,2,1.01
889,HD 45350 b,1,1,1.05
890,HD 45364 b,1,2,0.82
891,HD 45364 c,1,2,0.82
892,HD 45652 b,1,1,0.92
893,HD 46375 b,2,1,0.92
894,HD 47186 b,1,2,
895,HD 47186 c,1,2,
896,HD 4732 b,2,2,1.74
897,HD 4732 c,2,2,1.74
898,HD 47366 b,1,2,1.81
899,HD 47366 c,1,2,2.19
900,HD 47536 b,1,1,2.1
901,HD 4760 b,1,1,1.05
902,HD 48265 b,1,1,1.28
903,HD 4917 b,1,1,1.32
904,HD 49674 b,1,1,1.0
905,HD 50499 b,1,2,1.31
906,HD 50499 c,1,2,1.25
907,HD 50554 b,1,1,1.04
908,HD 51608 b,1,2,0.8
909,HD 51608 c,1,2,0.8
910,HD 52265 b,1,1,1.2
911,HD 5278 b,1,2,1.13
912,HD 5278 c,1,2,1.13
913,HD 5319 b,1,2,1.51
914,HD 5319 c,1,2,1.51
915,HD 55696 b,1,1,1.29
916,HD 5583 b,1,1,1.01
917,HD 5608 b,1,1,1.98
918,HD 564 b,1,1,0.96
919,HD 5891 b,1,1,1.91
920,HD 59686 A b,2,1,1.9
921,HD 60292 b,1,1,1.7
922,HD 60532 b,1,2,1.44
923,HD 60532 c,1,2,1.44
924,HD 62509 b,1,1,2.0
925,HD 63433 b,1,2,0.99
926,HD 63433 c,1,2,0.99
927,HD 63454 b,1,1,0.42
928,HD 63765 b,1,1,0.86
929,HD 64114 b,1,1,0.95
930,HD 6434 b,1,1,0.89
931,HD 65216 b,3,2,0.87
932,HD 65216 c,3,2,0.87
933,HD 66141 b,1,1,1.1
934,HD 66428 b,1,2,1.01
935,HD 66428 c,1,2,1.05
936,HD 67087 b,1,2,1.36
937,HD 67087 c,1,2,1.36
938,HD 6718 b,1,1,1.08
939,HD 68402 b,1,1,1.12
940,HD 68988 b,1,2,1.28
941,HD 68988 c,1,2,1.17
942,HD 69830 b,1,3,0.89
943,HD 69830 c,1,3,0.89
944,HD 69830 d,1,3,0.86
945,HD 70573 b,1,1,1.0
946,HD 70642 b,1,1,0.96
947,HD 7199 b,1,1,0.77
948,HD 72490 b,1,1,1.21
949,HD 72659 b,1,1,1.43
950,HD 72892 b,1,1,1.02
951,HD 73267 b,1,1,0.9
952,HD 73526 b,1,2,1.14
953,HD 73526 c,1,2,1.01
954,HD 73534 b,1,1,1.17
955,HD 74156 b,1,2,1.27
956,HD 74156 c,1,2,1.15
957,HD 7449 b,2,1,1.05
958,HD 75289 b,2,1,1.29
959,HD 75784 b,1,2,1.26
960,HD 75784 c,1,2,1.26
961,HD 75898 b,1,1,1.28
962,HD 76700 b,1,1,0.99
963,HD 76920 b,1,1,1.17
964,HD 77338 b,1,1,1.37
965,HD 7924 b,1,3,0.83
966,HD 7924 c,1,3,0.8
967,HD 7924 d,1,3,0.83
968,HD 79498 b,2,1,1.06
969,HD 80606 b,2,1,1.02
970,HD 80653 b,1,1,1.18
971,HD 80869 b,1,1,1.08
972,HD 81040 b,1,1,0.96
973,HD 81688 b,1,1,2.1
974,HD 81817 b,1,1,4.3
975,HD 82886 b,1,1,1.06
976,HD 82943 b,1,2,1.15
977,HD 82943 c,1,2,1.15
978,HD 8326 b,1,1,0.8
979,HD 83443 b,1,1,0.95
980,HD 8535 b,2,1,1.13
981,HD 85390 b,1,1,0.54
982,HD 85512 b,1,1,0.43
983,HD 8574 b,1,1,1.12
984,HD 86081 b,2,1,1.39
985,HD 86226 b,1,2,1.02
986,HD 86226 c,1,2,1.02
987,HD 86264 b,1,1,1.42
988,HD 8673 b,2,1,1.28
989,HD 86950 b,1,1,1.66
990,HD 87646 b,3,1,1.12
991,HD 87883 b,1,1,0.66
992,HD 88133 b,1,1,0.94
993,HD 89307 b,1,1,1.03
994,HD 89345 b,1,1,1.32
995,HD 89744 b,2,1,1.21
996,HD 90156 b,1,1,0.84
997,HD 9174 b,1,1,1.03
998,HD 92788 b,1,2,1.15
999,HD 92788 c,1,2,1.15
1000,HD 92987 b,1,1,1.08
1001,HD 93083 b,1,1,0.7
1002,HD 9446 b,1,2,1.0
1003,HD 9446 c,1,2,1.0
1004,HD 94834 b,1,1,1.11
1005,HD 95086 b,1,1,1.77
1006,HD 95089 b,1,2,1.58
1007,HD 95089 c,1,2,1.54
1008,HD 95127 b,1,1,3.7
1009,HD 95338 b,1,1,0.83
1010,HD 95544 b,1,1,1.09
1011,HD 95735 c,1,2,0.39
1012,HD 95872 b,1,1,0.95
1013,HD 96063 b,1,1,1.37
1014,HD 96127 b,1,1,0.91
1015,HD 96167 b,2,1,1.31
1016,HD 96992 b,1,1,0.96
1017,HD 97048 b,1,1,2.4
1018,HD 97658 b,1,1,0.86
1019,HD 98219 b,1,1,1.71
1020,HD 98649 b,1,1,1.0
1021,HD 98736 b,2,1,0.92
1022,HD 99109 b,1,1,0.93
1023,HD 99492 b,2,1,0.83
1024,HD 99706 b,1,2,1.46
1025,HD 99706 c,1,2,1.72
1026,HIP 105854 b,1,1,2.1
1027,HIP 107772 b,1,1,0.63
1028,HIP 107773 b,1,1,2.42
1029,HIP 109384 b,1,1,0.78
1030,HIP 109600 b,2,1,0.87
1031,HIP 114933 b,1,1,1.39
1032,HIP 116454 b,2,1,0.78
1033,HIP 12961 b,1,1,0.69
1034,HIP 14810 b,1,3,0.99
1035,HIP 14810 c,1,3,0.99
1036,HIP 14810 d,1,3,0.99
1037,HIP 35173 b,1,1,0.79
1038,HIP 38594 b,1,2,0.61
1039,HIP 38594 c,1,2,0.61
1040,HIP 41378 b,1,5,1.17
1041,HIP 41378 c,1,5,1.15
1042,HIP 41378 d,1,5,1.14
1043,HIP 41378 e,1,5,1.15
1044,HIP 41378 f,1,5,1.15
1045,HIP 4845 b,1,1,0.62
1046,HIP 48714 b,1,1,0.58
1047,HIP 5158 b,1,2,0.43
1048,HIP 5158 c,1,2,0.78
1049,HIP 54373 b,1,2,0.57
1050,HIP 54373 c,1,2,0.57
1051,HIP 56640 b,1,1,1.04
1052,HIP 57274 b,1,3,0.29
1053,HIP 57274 c,1,3,0.73
1054,HIP 57274 d,1,3,0.73
1055,HIP 63242 b,1,1,1.54
1056,HIP 65 A b,2,1,0.78
1057,HIP 65407 b,1,2,0.93
1058,HIP 65407 c,1,2,0.93
1059,HIP 65426 b,1,1,1.96
1060,HIP 65891 b,1,1,2.5
1061,HIP 67522 b,1,1,1.22
1062,HIP 67537 b,1,1,2.41
1063,HIP 67851 b,1,2,1.3
1064,HIP 67851 c,1,2,1.63
1065,HIP 70849 b,2,1,0.63
1066,HIP 71135 b,1,1,0.66
1067,HIP 74890 b,1,1,1.74
1068,HIP 75092 b,1,1,1.28
1069,HIP 78530 b,1,1,2.5
1070,HIP 79098 AB b,2,1,3.75
1071,HIP 79431 b,1,1,0.48
1072,HIP 8541 b,2,1,1.17
1073,HIP 90988 b,1,1,1.3
1074,HIP 91258 b,1,1,0.95
1075,HIP 97233 b,1,1,1.93
1076,HN Peg b,1,1,1.08
1077,HR 2562 b,1,1,1.3
1078,HR 5183 b,2,1,1.07
1079,HR 810 b,1,1,1.03
1080,HR 858 b,2,3,1.15
1081,HR 858 c,2,3,1.15
1082,HR 858 d,2,3,1.15
1083,HR 8799 b,1,4,1.51
1084,HR 8799 c,1,4,1.61
1085,HR 8799 d,1,4,1.5
1086,HR 8799 e,1,4,1.61
1087,HU Aqr AB b,2,2,0.88
1088,HU Aqr AB c,2,2,0.88
1089,HW Vir b,3,1,0.48
1090,IC 4651 9122 b,1,1,2.1
1091,K2-10 b,1,1,
1092,K2-100 b,1,1,1.15
1093,K2-101 b,1,1,
1094,K2-102 b,1,1,0.77
1095,K2-104 b,1,1,
1096,K2-105 b,1,1,1.01
1097,K2-107 b,1,1,1.3
1098,K2-108 b,1,1,1.17
1099,K2-11 b,1,1,
1100,K2-110 b,1,1,
1101,K2-111 b,1,2,
1102,K2-111 c,1,2,0.84
1103,K2-113 b,1,1,
1104,K2-114 b,1,1,0.89
1105,K2-115 b,1,1,0.95
1106,K2-116 b,1,1,
1107,K2-117 b,1,2,
1108,K2-117 c,1,2,0.53
1109,K2-118 b,1,1,0.78
1110,K2-119 b,1,1,0.76
1111,K2-12 b,1,1,
1112,K2-120 b,1,1,0.69
1113,K2-121 b,1,1,0.72
1114,K2-122 b,2,1,
1115,K2-123 b,1,1,0.62
1116,K2-124 b,1,1,
1117,K2-125 b,1,1,0.49
1118,K2-126 b,1,1,0.67
1119,K2-127 b,1,1,0.72
1120,K2-128 b,1,1,
1121,K2-129 b,1,1,0.34
1122,K2-13 b,1,1,
1123,K2-130 b,1,1,
1124,K2-131 b,1,1,0.8
1125,K2-132 b,1,1,
1126,K2-133 b,1,4,0.51
1127,K2-133 c,1,4,0.46
1128,K2-133 d,1,4,0.51
1129,K2-133 e,1,4,0.46
1130,K2-136 b,2,3,0.69
1131,K2-136 c,2,3,0.69
1132,K2-136 d,2,3,0.74
1133,K2-137 b,1,1,0.46
1134,K2-138 b,1,6,0.94
1135,K2-138 c,1,6,0.94
1136,K2-138 d,1,6,0.92
1137,K2-138 e,1,6,0.92
1138,K2-138 f,1,6,0.93
1139,K2-138 g,1,6,0.94
1140,K2-139 b,1,1,
1141,K2-14 b,1,1,
1142,K2-140 b,1,1,1.0
1143,K2-141 b,1,2,0.71
1144,K2-141 c,1,2,0.71
1145,K2-146 b,1,2,
1146,K2-146 c,1,2,0.33
1147,K2-147 b,1,1,
1148,K2-148 b,2,3,
1149,K2-148 c,2,3,
1150,K2-148 d,2,3,0.65
1151,K2-149 b,1,1,0.59
1152,K2-15 b,1,1,
1153,K2-150 b,1,1,
1154,K2-151 b,2,1,0.44
1155,K2-152 b,1,1,0.63
1156,K2-153 b,1,1,0.53
1157,K2-154 b,1,2,0.63
1158,K2-154 c,1,2,0.63
1159,K2-155 b,1,3,0.54
1160,K2-155 c,1,3,0.54
1161,K2-155 d,1,3,0.65
1162,K2-156 b,1,1,
1163,K2-157 b,1,1,
1164,K2-158 b,1,2,
1165,K2-158 c,1,2,0.94
1166,K2-159 b,1,1,
1167,K2-16 b,1,3,
1168,K2-16 c,1,3,0.67
1169,K2-160 b,1,1,
1170,K2-161 b,1,1,
1171,K2-162 b,1,1,0.78
1172,K2-163 b,1,1,
1173,K2-164 b,1,1,1.18
1174,K2-165 b,1,3,
1175,K2-165 c,1,3,0.83
1176,K2-165 d,1,3,0.83
1177,K2-166 b,1,2,1.12
1178,K2-167 b,1,1,
1179,K2-168 b,1,2,0.91
1180,K2-169 b,1,1,
1181,K2-17 b,1,1,0.63
1182,K2-170 b,1,2,
1183,K2-170 c,1,2,
1184,K2-171 b,1,1,0.89
1185,K2-172 b,1,2,
1186,K2-172 c,1,2,
1187,K2-173 b,1,1,
1188,K2-174 b,1,1,0.66
1189,K2-175 b,1,1,1.09
1190,K2-176 b,1,1,
1191,K2-177 b,1,1,
1192,K2-178 b,1,1,0.95
1193,K2-179 b,1,1,0.85
1194,K2-18 b,1,2,
1195,K2-18 c,1,2,0.36
1196,K2-180 b,1,1,
1197,K2-181 b,1,1,0.98
1198,K2-182 b,1,1,
1199,K2-183 b,1,3,
1200,K2-183 c,1,3,
1201,K2-183 d,1,3,
1202,K2-184 b,1,1,
1203,K2-185 b,1,2,
1204,K2-185 c,1,2,
1205,K2-186 b,1,1,
1206,K2-187 b,1,4,0.97
1207,K2-187 c,1,4,
1208,K2-187 d,1,4,
1209,K2-187 e,1,4,0.97
1210,K2-188 b,1,2,1.06
1211,K2-188 c,1,2,1.07
1212,K2-189 b,1,2,0.94
1213,K2-189 c,1,2,
1214,K2-19 b,1,3,
1215,K2-19 c,1,3,
1216,K2-19 d,1,3,0.93
1217,K2-190 b,1,2,0.99
1218,K2-190 c,1,2,0.9
1219,K2-191 b,1,1,0.83
1220,K2-192 b,1,1,0.87
1221,K2-193 b,1,1,0.99
1222,K2-194 b,1,1,
1223,K2-195 b,1,2,0.94
1224,K2-195 c,1,2,
1225,K2-196 b,1,1,1.16
1226,K2-197 b,1,1,
1227,K2-198 b,1,3,0.8
1228,K2-198 c,1,3,0.8
1229,K2-198 d,1,3,0.8
1230,K2-199 b,1,2,0.71
1231,K2-199 c,1,2,
1232,K2-200 b,1,1,0.83
1233,K2-201 b,1,2,
1234,K2-201 c,1,2,0.96
1235,K2-202 b,1,1,0.97
1236,K2-203 b,1,1,
1237,K2-204 b,1,1,
1238,K2-205 b,1,1,
1239,K2-206 b,1,1,
1240,K2-207 b,1,1,
1241,K2-208 b,1,1,0.93
1242,K2-209 b,1,1,0.74
1243,K2-21 b,1,2,
1244,K2-21 c,1,2,0.64
1245,K2-210 b,1,1,0.91
1246,K2-211 b,1,1,0.88
1247,K2-212 b,1,1,0.62
1248,K2-213 b,1,1,1.07
1249,K2-214 b,1,1,
1250,K2-215 b,1,1,
1251,K2-216 b,1,1,
1252,K2-217 b,1,1,
1253,K2-218 b,1,1,
1254,K2-219 b,1,3,1.02
1255,K2-219 c,1,3,
1256,K2-219 d,1,3,
1257,K2-22 b,2,1,
1258,K2-220 b,1,1,
1259,K2-221 b,1,1,
1260,K2-222 b,1,1,0.95
1261,K2-223 b,1,2,1.07
1262,K2-223 c,1,2,1.05
1263,K2-224 b,1,2,1.01
1264,K2-224 c,1,2,0.91
1265,K2-225 b,1,1,1.11
1266,K2-226 b,1,1,0.89
1267,K2-227 b,1,1,0.95
1268,K2-228 b,1,1,
1269,K2-229 b,1,2,0.84
1270,K2-229 c,1,2,0.89
1271,K2-230 b,1,1,1.13
1272,K2-231 b,1,1,
1273,K2-232 b,1,1,1.19
1274,K2-233 b,1,3,0.8
1275,K2-233 c,1,3,0.79
1276,K2-233 d,1,3,0.79
1277,K2-237 b,1,1,1.28
1278,K2-238 b,1,1,1.19
1279,K2-239 b,1,3,0.4
1280,K2-239 c,1,3,0.4
1281,K2-239 d,1,3,0.4
1282,K2-24 b,1,2,1.12
1283,K2-24 c,1,2,
1284,K2-240 b,1,2,0.58
1285,K2-240 c,1,2,0.58
1286,K2-241 b,1,1,0.71
1287,K2-242 b,1,1,0.35
1288,K2-243 b,1,2,1.06
1289,K2-243 c,1,2,1.29
1290,K2-244 b,1,1,0.86
1291,K2-245 b,1,1,1.11
1292,K2-246 b,1,1,0.97
1293,K2-247 b,1,2,0.74
1294,K2-247 c,1,2,0.64
1295,K2-248 b,1,1,0.88
1296,K2-249 b,1,1,1.32
1297,K2-25 b,1,1,0.29
1298,K2-250 b,1,1,0.8
1299,K2-251 b,1,1,0.49
1300,K2-252 b,1,1,0.83
1301,K2-253 b,1,1,1.08
1302,K2-254 b,1,2,0.69
1303,K2-254 c,1,2,0.69
1304,K2-255 b,1,1,0.67
1305,K2-256 b,1,1,0.9
1306,K2-257 b,1,1,0.52
1307,K2-258 b,1,1,1.03
1308,K2-259 b,1,1,
1309,K2-26 b,1,1,
1310,K2-260 b,1,1,1.39
1311,K2-261 b,1,1,1.1
1312,K2-263 b,1,1,
1313,K2-264 b,1,2,0.5
1314,K2-264 c,1,2,0.47
1315,K2-265 b,2,1,
1316,K2-266 b,2,4,0.69
1317,K2-266 c,2,4,0.69
1318,K2-266 d,2,4,0.69
1319,K2-266 e,2,4,0.69
1320,K2-268 b,1,5,0.84
1321,K2-268 c,1,5,0.84
1322,K2-268 d,1,5,0.84
1323,K2-268 e,1,5,
1324,K2-268 f,1,5,
1325,K2-269 b,1,1,
1326,K2-27 b,3,1,
1327,K2-270 b,1,2,
1328,K2-270 c,1,2,
1329,K2-271 b,1,1,
1330,K2-272 b,1,1,0.86
1331,K2-273 b,1,1,
1332,K2-274 b,1,1,
1333,K2-275 b,1,2,
1334,K2-275 c,1,2,0.77
1335,K2-276 b,1,1,0.82
1336,K2-277 b,1,1,1.01
1337,K2-278 b,1,1,0.98
1338,K2-279 b,1,1,
1339,K2-28 b,1,1,0.26
1340,K2-280 b,1,1,
1341,K2-281 b,1,1,0.82
1342,K2-282 b,1,2,
1343,K2-283 b,1,1,0.89
1344,K2-284 b,1,1,0.63
1345,K2-285 b,1,4,0.83
1346,K2-285 c,1,4,0.83
1347,K2-285 d,1,4,0.83
1348,K2-285 e,1,4,0.83
1349,K2-286 b,1,1,0.64
1350,K2-287 b,1,1,1.06
1351,K2-288 B b,2,1,
1352,K2-289 b,1,1,0.95
1353,K2-29 b,2,1,0.86
1354,K2-290 b,3,2,1.19
1355,K2-290 c,3,2,1.19
1356,K2-291 b,1,1,0.93
1357,K2-292 b,1,1,1.0
1358,K2-293 b,1,1,0.96
1359,K2-294 b,1,1,0.99
1360,K2-295 b,1,1,0.74
1361,K2-3 b,1,3,0.61
1362,K2-3 c,1,3,
1363,K2-3 d,1,3,0.41
1364,K2-30 b,1,1,0.9
1365,K2-308 b,1,1,1.09
1366,K2-31 b,2,1,1.0
1367,K2-315 b,1,1,0.17
1368,K2-316 b,1,2,0.41
1369,K2-316 c,1,2,0.41
1370,K2-317 b,1,1,0.4
1371,K2-318 b,1,1,0.56
1372,K2-319 b,1,1,0.95
1373,K2-32 b,2,4,
1374,K2-32 c,2,4,0.87
1375,K2-32 d,2,4,0.88
1376,K2-32 e,2,4,0.83
1377,K2-320 b,1,1,0.12
1378,K2-321 b,1,1,0.6
1379,K2-322 b,1,1,0.63
1380,K2-323 b,1,1,0.48
1381,K2-324 b,1,1,0.52
1382,K2-325 b,1,1,0.27
1383,K2-326 b,1,1,0.51
1384,K2-329 b,1,1,0.9
1385,K2-33 b,1,1,0.31
1386,K2-330 b,1,1,1.23
1387,K2-331 b,1,2,1.1
1388,K2-331 c,1,2,1.1
1389,K2-332 b,1,1,
1390,K2-333 b,1,1,1.06
1391,K2-334 b,1,1,1.36
1392,K2-335 b,1,1,1.23
1393,K2-336 b,1,1,
1394,K2-337 b,1,1,
1395,K2-338 b,1,1,
1396,K2-339 b,1,1,
1397,K2-34 b,1,1,1.31
1398,K2-340 b,1,1,0.96
1399,K2-341 b,1,1,
1400,K2-342 b,1,1,1.01
1401,K2-343 b,1,2,0.49
1402,K2-343 c,1,2,
1403,K2-344 b,1,1,0.51
1404,K2-345 b,1,1,
1405,K2-346 b,1,1,
1406,K2-347 b,1,1,0.66
1407,K2-348 b,1,2,
1408,K2-348 c,1,2,
1409,K2-349 b,1,1,
1410,K2-35 b,1,2,0.7
1411,K2-35 c,1,2,
1412,K2-350 b,1,2,0.98
1413,K2-350 c,1,2,0.98
1414,K2-351 b,1,1,1.03
1415,K2-352 b,1,3,0.98
1416,K2-352 c,1,3,0.98
1417,K2-352 d,1,3,0.98
1418,K2-353 b,1,1,0.87
1419,K2-354 b,1,1,0.42
1420,K2-355 b,1,1,0.96
1421,K2-356 b,1,1,0.9
1422,K2-357 b,1,1,0.98
1423,K2-358 b,1,1,0.93
1424,K2-36 b,1,2,
1425,K2-36 c,1,2,0.77
1426,K2-37 b,1,3,
1427,K2-37 c,1,3,0.89
1428,K2-37 d,1,3,0.89
1429,K2-38 b,1,2,1.07
1430,K2-38 c,1,2,1.08
1431,K2-39 b,1,1,
1432,K2-4 b,1,1,0.64
1433,K2-42 b,1,1,
1434,K2-43 b,1,2,0.6
1435,K2-43 c,1,2,
1436,K2-44 b,1,1,
1437,K2-45 b,1,1,
1438,K2-46 b,1,1,
1439,K2-47 b,1,1,
1440,K2-48 b,1,1,
1441,K2-49 b,1,1,
1442,K2-5 b,1,2,0.52
1443,K2-5 c,1,2,
1444,K2-50 b,1,2,
1445,K2-52 b,1,1,
1446,K2-53 b,1,1,
1447,K2-54 b,1,1,
1448,K2-55 b,1,1,
1449,K2-57 b,1,1,
1450,K2-58 b,1,3,
1451,K2-58 c,1,3,
1452,K2-58 d,1,3,0.86
1453,K2-59 b,1,2,
1454,K2-59 c,1,2,
1455,K2-6 b,1,1,0.93
1456,K2-60 b,1,1,0.97
1457,K2-61 b,1,1,
1458,K2-62 b,1,2,
1459,K2-62 c,1,2,0.68
1460,K2-63 b,1,2,
1461,K2-63 c,1,2,
1462,K2-64 b,1,1,
1463,K2-65 b,1,1,0.87
1464,K2-66 b,1,1,1.11
1465,K2-68 b,1,1,0.73
1466,K2-69 b,1,1,
1467,K2-7 b,1,1,
1468,K2-70 b,1,1,0.85
1469,K2-71 b,1,1,
1470,K2-72 b,1,4,0.31
1471,K2-72 c,1,4,0.22
1472,K2-72 d,1,4,0.31
1473,K2-72 e,1,4,
1474,K2-73 b,1,1,1.05
1475,K2-74 b,1,1,0.99
1476,K2-75 b,1,2,
1477,K2-75 c,1,2,1.17
1478,K2-77 b,1,1,
1479,K2-79 b,1,1,1.06
1480,K2-8 b,1,2,
1481,K2-8 c,1,2,0.78
1482,K2-80 b,1,3,0.9
1483,K2-80 c,1,3,
1484,K2-80 d,1,3,
1485,K2-81 b,1,1,0.77
1486,K2-83 b,1,2,0.48
1487,K2-83 c,1,2,
1488,K2-84 b,1,2,
1489,K2-84 c,1,2,0.95
1490,K2-85 b,1,1,
1491,K2-86 b,1,1,
1492,K2-87 b,1,1,1.16
1493,K2-88 b,1,1,0.44
1494,K2-89 b,1,1,
1495,K2-9 b,1,1,
1496,K2-90 b,1,2,0.56
1497,K2-90 c,1,2,
1498,K2-91 b,1,1,0.38
1499,K2-95 b,1,1,0.41
1500,K2-97 b,1,1,1.2
1501,K2-98 b,1,1,1.23
1502,K2-99 b,1,1,
1503,KELT-1 b,1,1,1.38
1504,KELT-10 b,1,1,1.11
1505,KELT-11 b,1,1,
1506,KELT-12 b,1,1,1.59
1507,KELT-14 b,1,1,1.24
1508,KELT-15 b,2,1,2.06
1509,KELT-16 b,2,1,1.21
1510,KELT-17 b,1,1,1.64
1511,KELT-18 b,2,1,1.52
1512,KELT-19 A b,2,1,1.62
1513,KELT-2 A b,2,1,1.54
1514,KELT-20 b,1,1,1.89
1515,KELT-21 b,1,1,1.46
1516,KELT-23 A b,2,1,0.94
1517,KELT-24 b,1,1,1.25
1518,KELT-3 b,2,1,1.28
1519,KELT-4 A b,3,1,1.2
1520,KELT-6 b,1,2,1.42
1521,KELT-6 c,1,2,1.13
1522,KELT-7 b,1,1,1.76
1523,KELT-8 b,1,1,0.81
1524,KELT-9 b,2,1,1.98
1525,KIC 10001893 b,1,3,
1526,KIC 10001893 c,1,3,
1527,KIC 10001893 d,1,3,
1528,KIC 10068024 b,1,1,1.22
1529,KIC 10525077 b,1,1,1.01
1530,KIC 3558849 b,1,1,0.98
1531,KIC 5095269 b,2,1,1.21
1532,KIC 5437945 b,1,2,1.07
1533,KIC 5479689 b,1,1,0.97
1534,KIC 5951458 b,2,1,0.98
1535,KIC 7917485 b,1,1,1.63
1536,KIC 8121913 b,1,1,1.46
1537,KIC 8540376 b,1,2,1.04
1538,KIC 8540376 c,1,2,1.04
1539,KIC 9663113 b,1,2,
1540,KMT-2016-BLG-0212L b,1,1,0.39
1541,KMT-2016-BLG-1107L b,1,1,0.09
1542,KMT-2016-BLG-1397L b,1,1,0.45
