1188_01.tab     3 00:15:00 0.007 HD28099       13.6       1.93 4.5
1189_01.tab     2 00:20:00 0.007 HD28099       14.7       2.82 4.5
118_01.tab      3 00:03:00 0.007 HD28099       12.4       2.04 4.5
11906_01.tab    3 00:45:00 0.007 HD186427      16.8       2.56 4.5
1196_01.tab     2 00:20:00 0.007 HD28099       15.1       2.69 4.5
119_00.tab      5 00:26:00 0.007 N/A      -999999.9 -999999.9  4.5
11_01.tab       5 00:00:25 0.007 HD28099       10.2       2.69 4.5
1201_01.tab     3 00:45:00 0.007 HD186427      15.4       2.80 4.5
1204_00.tab     4 00:40:00 0.007 N/A      -999999.9 -999999.9  4.5
120_01.tab      3 00:09:00 0.007 HD28099       13.4       3.28 4.5
1212_01.tab     2 00:20:00 0.007 HD186427      15.2       3.84 4.5
1214_01.tab     2 00:20:00 0.007 HD101177      15.2       3.03 4.5
121_01.tab      3 00:06:00 0.007 HD28099       12.8       3.16 4.5
1222_01.tab     2 00:30:00 0.007 HD28099       15.5       3.21 4.5
12281_01.tab    3 00:45:00 0.007 HD186427      17.0       2.71 4.5
1228_01.tab     2 00:30:00 0.007 HD28099       16.5       2.82 4.5
122_01.tab      2 00:04:00 0.007 HD28099       12.7       3.08 4.5
1234_01.tab     2 00:30:00 0.007 HD28099       16.9       3.04 4.5
123_01.tab      2 00:08:00 0.007 HD101177      13.0       2.68 4.5
1248_01.tab     2 00:15:00 0.007 HD28099       14.2       2.69 4.5
124_01.tab      3 00:09:00 0.007 HD28099       12.9       2.75 4.5
1251_01.tab     2 00:30:00 0.007 HD28099       15.6       2.91 4.5
1252_01.tab     2 00:06:40 0.007 HD101177      14.0       2.27 4.5
125_00.tab      6 00:45:00 0.007 N/A      -999999.9 -999999.9  4.5
1262_01.tab     2 00:30:00 0.007 HD186427      14.7       3.01 4.5
1263_01.tab     2 00:15:00 0.007 HD28099       14.0       2.25 4.5
1264_01.tab     3 00:30:00 0.007 HD28099       14.6       3.28 4.5
1271_01.tab     2 00:20:00 0.007 HD28099       15.6       3.13 4.5
1272_01.tab     2 00:30:00 0.007 HD101177      18.0       3.19 4.5
1277_01.tab     2 00:15:00 0.007 HD28099       14.3       2.51 4.5
1278_01.tab     3 00:45:00 0.007 HD186427      14.4       2.61 4.5
127_01.tab      3 00:06:00 0.007 HD28099       13.1       2.64 4.5
1284_01.tab     2 00:10:00 0.007 HD28099       13.7       2.22 4.5
128_01.tab      3 00:03:00 0.007 HD28099       12.3       2.50 4.5
1293_01.tab     3 00:30:00 0.007 HD186427      13.9       1.62 4.5
1294_01.tab     2 00:20:00 0.007 HD28099       14.0       2.42 4.5
129_01.tab      5 00:07:30 0.007 HD186427      12.5       2.91 4.5
12_01.tab       2 00:01:30 0.007 HD28099       11.6       2.72 4.5
1300_01.tab     2 00:20:00 0.007 HD101177      15.2       2.80 4.5
1301_01.tab     2 00:20:00 0.007 HD101177      14.7       2.59 4.5
1304_00.tab     8 02:00:00 0.007 HD186427      13.8 -999999.9  4.5
130_01.tab      1 00:00:40 0.007 HD101177      11.9       3.41 4.5
1316_01.tab     2 00:20:00 0.007 HD101177      17.1       2.02 4.5
131_01.tab      2 00:15:00 0.007 HD28099       14.0       2.52 4.5
1323_01.tab     2 00:30:00 0.007 HD186427      14.7       2.68 4.5
1324_01.tab     3 00:45:00 0.007 HD186427      15.8       2.30 4.5
1327_01.tab     2 00:30:00 0.007 HD28099       16.2       2.76 4.5
1329_01.tab     3 00:15:00 0.007 HD186427      14.6       2.43 4.5
132_00.tab      4 00:40:00 0.007 HD28099       15.1       3.49 4.5
1331_00.tab     4 00:40:00 0.007 HD186427      13.9       2.56 4.5
1332_01.tab     2 00:20:00 0.007 HD101177      15.0       3.08 4.5
1336_01.tab     2 00:30:00 0.007 HD101177      15.5       2.92 4.5
133_01.tab      2 00:15:00 0.007 HD28099       14.0       3.43 4.5
1343_01.tab     3 00:30:00 0.007 HD186427      14.7       2.39 4.5
1348_01.tab     2 00:30:00 0.007 HD101177      15.5       2.80 4.5
134_00.tab      3 00:08:40 0.007 N/A      -999999.9 -999999.9  4.5
1350_01.tab     2 00:16:40 0.007 HD101177      15.4       3.09 4.5
1351_01.tab     2 00:20:00 0.007 HD101177      14.3       3.30 4.5
1352_00.tab     8 01:30:00 0.007 N/A      -999999.9 -999999.9  4.5
135_01.tab      2 00:08:00 0.007 HD101177      13.5       2.85 4.5
1360_01.tab     2 00:30:00 0.007 HD28099       15.6       2.92 4.5
136_01.tab      2 00:06:00 0.007 HD28099       13.6       2.35 4.5
1372_01.tab     2 00:30:00 0.007 HD28099       15.9       2.75 4.5
1373_01.tab     2 00:30:00 0.007 HD28099       15.5       2.34 4.5
1374_01.tab     3 00:45:00 0.007 HD28099       16.5       2.15 4.5
1385_01.tab     2 00:30:00 0.007 HD28099       15.4       2.45 4.5
1386_01.tab     1 00:15:00 0.007 HD28099       15.9       2.04 4.5
139_01.tab      3 00:30:00 0.007 HD28099       13.2       3.10 4.5
13_01.tab       3 00:06:00 0.007 HD28099       11.6       2.52 4.5
1403_01.tab     2 00:30:00 0.007 HD28099       14.7       2.70 4.5
1406_00.tab     5 01:15:00 0.007 HD186427      15.1       2.87 4.5
1407_00.tab     3 00:45:00 0.007 HD186427      16.0       2.77 4.5
140_01.tab      2 00:01:00 0.007 HD126053      11.3       2.44 4.5
1414_01.tab     3 00:45:00 0.007 HD28099       16.0       2.59 4.5
141_01.tab      3 00:03:00 0.007 HD28099       11.4       2.18 4.5
1420_01.tab     2 00:30:00 0.007 HD28099       16.0       2.66 4.5
1423_01.tab     2 00:30:00 0.007 HD186427      15.0       2.63 4.5
1424_01.tab     2 00:17:40 0.007 HD28099       14.7       3.38 4.5
1427_01.tab     2 00:30:00 0.007 HD101177      15.5       3.33 4.5
1428_01.tab     2 00:30:00 0.007 HD28099       15.3       2.92 4.5
142_01.tab      3 00:22:30 0.007 HD186427      12.7       2.09 4.5
1433_01.tab     2 00:30:00 0.007 HD28099       15.7       2.81 4.5
143_00.tab      4 00:30:00 0.007 HD186427      13.9       2.85 4.5
144_00.tab      6 00:16:00 0.007 HD28099  -999999.9 -999999.9  4.5
1458_01.tab     2 00:30:00 0.007 HD186427      14.8       2.22 4.5
145_01.tab      3 00:10:00 0.007 HD186427      13.4       2.88 4.5
146_00.tab      5 00:17:00 0.007 N/A      -999999.9 -999999.9  4.5
1471_01.tab     2 00:20:00 0.007 HD28099       14.2       2.58 4.5
1474_01.tab     2 00:10:00 0.007 HD28099       14.3       1.41 4.5
147_00.tab      4 00:45:00 0.007 HD186427      12.9       3.24 4.5
1480_01.tab     2 00:20:00 0.007 HD186427      15.3       2.09 4.5
1483_00.tab     4 00:50:00 0.007 HD28099  -999999.9 -999999.9  4.5
1484_01.tab     2 00:30:00 0.007 HD28099       16.1       2.87 4.5
148_01.tab      5 00:05:00 0.007 HD186427      12.8       2.81 4.5
1490_01.tab     2 00:20:00 0.007 HD28099       14.5       2.08 4.5
1493_01.tab     2 00:30:00 0.007 HD101177      16.7       2.73 4.5
1494_01.tab     2 00:30:00 0.007 HD101177      16.1       2.39 4.5
14_00.tab      10 00:06:15 0.007 HD28099  -999999.9 -999999.9  4.5
1502_01.tab     3 00:45:00 0.007 HD28099       16.0       2.81 4.5
1508_01.tab     2 00:30:00 0.007 HD101177      15.7       2.06 4.5
