,planet_name,starname,number_stars,number_planets,spectral_type,star_temp,star_radius,star_mass,right_ascencion,declination,distance,alpha,delta,X,Y,Z
1476,HD 153950 b,HD 153950,1,1,,6124.0,1.28,1.25,256.1292826,-43.3103753,48.4549,4.470299292141022,-0.7559086492594268,-8.452500394469194,-34.2299800177159,-33.23764490872162
1478,HD 154345 b,HD 154345,1,1,,,,0.88,255.6524619,47.0855544,18.284,4.461977200984358,0.8217979544069031,-3.0850662359003413,-12.061377216543184,13.390675933662225
1483,HD 154672 b,HD 154672,1,1,,5743.0,1.32,1.18,257.520697,-56.4498041,63.0484,4.494584054680684,-0.9852349436507944,-7.529503908754262,-34.02155214989174,-52.54466007845375
1486,HD 154857 b,HD 154857,1,2,,5589.0,2.3,1.96,257.816194,-56.681038,63.4482,4.49974145026045,-0.9892707365480217,-7.355475707956926,-34.06703579123342,-53.01894126393393
1490,HD 155193 b,HD 155193,1,1,F8 IV,6239.0,,1.22,257.4208876,10.0381003,57.7995,4.492842052026244,0.17519790088043055,-12.395309280350958,-55.54854093105484,10.07462696705789
1491,HD 155233 b,HD 155233,2,1,K1 III,4845.0,5.03,1.5,257.7681391,-20.655164,74.2309,4.498902734033733,-0.36050061933940203,-14.716236138350226,-67.88251332281658,-26.18440936335868
1493,HD 155358 b,HD 155358,1,2,,5905.0,1.38,1.15,257.3930947,33.3549277,43.6197,4.492356974412567,0.5821533101296594,-7.952266944359551,-35.556267706197424,23.983150446529514
1496,HD 156279 b,HD 156279,1,2,,5453.0,0.95,0.95,258.0966686,63.3527828,36.1945,4.504636655498663,1.1057146501608324,-3.3482528887297462,-15.884021340670877,32.350098900810565
1501,HD 156411 b,HD 156411,1,1,F8 IV/V,5900.0,2.16,1.25,259.9639522,-48.5502313,56.8655,4.5372269023871565,-0.8473613887898068,-6.559937343507095,-37.06686777747872,-42.62275947737512
1502,HD 156668 b,HD 156668,1,2,,4849.92,0.76,0.79,259.4183491,29.228161,24.3323,4.5277043318830685,0.5101276437529983,-3.8994055770494556,-20.873257639569687,11.881185755126515
1506,HD 156846 b,HD 156846,2,1,,5969.0,2.12,1.35,260.1423366,-19.334365,47.7332,4.540340297501351,-0.3374483280323534,-7.711099627666322,-44.3761855956692,-15.803527351541662
1509,HD 158038 b,HD 158038,1,1,,4860.0,4.5,1.3,261.4395312,27.3030721,94.8625,4.562980614310441,0.4765285040544025,-12.547442297854854,-83.35502523877797,43.513163128813
1511,HD 158259 b,HD 158259,1,5,,5801.89,1.26,,261.3495847,52.7904721,27.0498,4.561410751734797,0.9213675518272053,-2.4603101049893934,-16.171787629598445,21.543255071842182
1517,HD 158996 b,HD 158996,1,1,K5 III,4069.0,50.3,1.8,259.9051092,80.1364033,283.659,4.536199898295406,1.3986440882910491,-8.517098904461294,-47.839428709990074,279.46605584212443
1518,HD 159243 b,HD 159243,1,2,G0 V,6123.0,1.12,1.12,263.3395365,5.7008254,73.3055,4.596141962600784,0.09949817331132275,-8.460314738977788,-72.45064350384806,7.2817347277798286
1520,HD 159868 b,HD 159868,1,2,,5534.0,2.06,0.97,264.7466665,-43.1462347,55.8503,4.620701014104372,-0.7530438553532278,-3.7309580130547957,-40.57781305305637,-38.1939399673041
1526,HD 1605 b,HD 1605,1,2,K1 IV,4915.0,3.49,1.33,5.1317548,30.9750611,88.8047,0.0895660176650231,0.5406168022014166,75.83518818125093,6.810476928921474,45.70466474666331
1531,HD 160691 b,HD 160691,1,4,,,,1.08,266.0361585,-51.8348751,15.5981,4.643206895182499,-0.904689237855025,-0.6662820266450146,-9.61547643020196,-12.263743510494681
1544,HD 16141 b,HD 16141,2,1,,5794.0,,1.12,38.8323674,-3.5624887,37.7861,0.6777526674741099,-0.06217715738009251,29.377883019703155,23.64776141578386,-2.3479187619679354
1547,HD 16175 b,HD 16175,1,1,G0,6022.0,,1.34,39.2577379,42.0624526,59.859,0.6851767832399644,0.7341282893340494,34.410382793403535,28.122212227826033,40.101952775700966
1550,HD 162020 b,HD 162020,1,1,K3 V,4830.0,,0.75,267.6599252,-40.3184646,30.8248,4.671546970381741,-0.7036899566187785,-0.9596295410226015,-23.483073072594244,-19.944740791777566
1552,HD 163607 b,HD 163607,1,2,G5,5522.0,1.76,1.12,268.4181383,56.3924701,67.7855,4.684780285408495,0.9842342765774559,-1.035728494771734,-37.50504413126998,56.45505239964452
1558,HD 16417 b,HD 16417,2,1,G1 V,,,1.2,39.2441029,-34.5790905,25.3936,0.684938807596455,-0.6035189815700922,16.192096889287768,13.226719242530507,-14.411967852003784
1559,HD 164509 b,HD 164509,2,1,G5,5859.0,1.11,1.12,270.3800811,0.1044685,53.1119,4.719022647004292,0.0018233192896196962,0.35232346843644197,-53.110643112447065,0.0968398981210672
1561,HD 164595 b,HD 164595,2,1,G2 V,5790.0,,0.99,270.1613723,29.5726698,28.254,4.715205458341205,0.516140456615093,0.06921024624869139,-24.573266438659314,13.944113542153698
1562,HD 164604 b,HD 164604,1,1,K2 V,,,0.8,270.7787177,-28.5608343,39.3633,4.725980168193248,-0.4984805956515299,0.46987611115068056,-34.56998648783758,-18.819262407461597
1564,HD 164922 b,HD 164922,1,4,,5393.43,1.0,0.92,270.6304652,26.3104077,22.0016,4.723392673943934,0.45920324190706846,0.21701447862789952,-19.7211707680212,9.751857813494407
1575,HD 165155 b,HD 165155,1,1,G8 V,5426.0,0.95,1.02,271.4893395,-29.9172536,63.3574,4.738382858339697,-0.5221545784741266,1.4272881494973133,-54.896259547304695,-31.599425169032155
1576,HD 1666 b,HD 1666,1,1,F7 V,6317.0,1.93,1.5,5.2180424,-19.9314823,117.908,0.09107202038866696,-0.34786999093797216,110.38605901849121,10.080967735535422,-40.19438428289791
1577,HD 166724 b,HD 166724,1,1,K0 IV-V,5127.0,,0.81,273.4988604,-42.5757218,45.1342,4.7734556144323355,-0.7430865268231266,2.0283552560837146,-33.17414369703005,-30.536174851541563
1578,HD 167042 b,HD 167042,1,1,,,,1.72,272.6326268,54.2876184,49.6633,4.758336986020932,0.947497684146256,1.3315317418654373,-28.958701030074135,40.32448418468844
1581,HD 168009 b,HD 168009,1,1,,5778.33,1.21,0.99,273.8847918,45.2088229,23.3032,4.780191388049167,0.7890428105560112,1.112305904155482,-16.37996252130835,16.53779712102294
1582,HD 168443 b,HD 168443,1,2,,5551.0,1.68,0.98,275.0159879,-9.5966905,39.6245,4.799934484479886,-0.16749384651986088,3.4160337931077827,-38.920356826793046,-6.605871467826876
1592,HD 168746 b,HD 168746,1,1,,5564.0,,0.93,275.4573269,-11.9229757,41.5681,4.807637303147345,-0.20809518260027568,3.8680201087093002,-40.48696827382881,-8.587826153491944
1596,HD 1690 b,HD 1690,1,1,,4374.0,21.66,1.86,5.3055886,-8.2811442,752.615,0.09259998982627642,-0.1445332321224318,741.5768456321824,68.86696015129,-108.39954818514161
1598,HD 169830 b,HD 169830,1,2,F8 V,6299.0,,1.4,276.9561859,-29.8167919,37.6048,4.833797327720495,-0.5204011910369758,3.9514257671377564,-32.38650466734844,-18.69816923868797
1604,HD 170469 b,HD 170469,2,1,,5765.62,1.27,1.13,277.2955423,11.6954244,60.178,4.83972021423821,0.2041236631980823,7.483197568815451,-58.45157752804851,12.198627899424132
1607,HD 17092 b,HD 17092,1,1,,,,1.55,41.5924261,49.6530375,228.422,0.7259247793374243,0.866608987991214,110.60016888408391,98.1692832597401,174.08907073989747
1610,HD 171028 b,HD 171028,1,1,,5671.0,2.47,1.53,278.0643694,6.9456827,111.659,4.853138778511769,0.12122503191380955,15.549187435859174,-109.74347876935865,13.502737451489114
1612,HD 171238 b,HD 171238,1,1,K0 V,5467.0,,0.94,278.6818389,-28.0727849,44.8113,4.863915654317412,-0.4899625267091471,5.968353919769359,-39.086223098409675,-21.087876210745353
1614,HD 17156 b,HD 17156,1,1,G5,5969.0,1.47,1.23,42.4366123,71.7530882,78.0863,0.7406586080273236,1.2523276375638914,18.044551000061244,16.498096368886774,74.15980881244984
1621,HD 173416 b,HD 173416,1,1,G8,4683.0,13.5,2.0,280.9005676,36.556857,132.184,4.902639775340906,0.6380375188307367,20.07898639529007,-104.26313538157802,78.73145979683399
1623,HD 175167 b,HD 175167,1,1,,5635.0,1.75,1.37,285.0033888,-69.9450664,71.0863,4.97424751390153,-1.220771704206057,6.310619499980115,-23.545981936868458,-66.77593027315406
1625,HD 175541 b,HD 175541,1,1,G8 IV,5060.0,3.8,1.65,283.9203211,4.2649344,129.603,4.955344416514529,0.07443714766156884,31.09255376893952,-125.44836592374669,9.63837103391206
1629,HD 175607 b,HD 175607,1,1,G6 V,5392.0,0.7,0.71,285.2742901,-66.1943379,40.3303,4.978975633534463,-1.155309142532669,4.288477073985356,-15.70371440159881,-36.89898936920794
1630,HD 17674 b,HD 17674,1,1,G0 V,5904.0,1.18,0.98,42.7684964,30.2865981,44.4264,0.7464510783073417,0.5286008560732588,28.162258031358956,26.049788612138954,22.405373301912057
1631,HD 176986 b,HD 176986,1,2,K2.5 V,4931.0,0.78,0.79,285.7739138,-11.044941,27.7843,4.98769571212046,-0.19277058613851503,7.413041776964309,-26.242732869213203,-5.32288546355253
1633,HD 177565 b,HD 177565,1,1,,,,1.0,286.7175787,-37.8122394,16.9179,5.004165771660963,-0.6599480750823252,3.844658363325923,-12.800643715522794,-10.3719555989965
1634,HD 177830 b,HD 177830,2,2,,4923.79,3.31,,286.3363574,25.9204327,62.7674,4.99751220479723,0.45239689415660356,15.878891566913982,-54.17394008419953,27.437046508685075
1640,HD 178911 B b,HD 178911 B,3,1,,,,0.87,287.2632091,34.6006972,40.9727,5.013688818639936,0.6038960896255829,10.008537870542154,-32.20653984405486,23.266501805325838
1645,HD 179079 b,HD 179079,1,1,G5 IV,5684.0,1.6,1.15,287.7903733,-2.6387703,69.7116,5.022889569628578,-0.046055229938838524,21.276771570145208,-66.30765871195794,-3.2094489013488507
1648,HD 179949 b,HD 179949,1,1,F8 V,,,,288.8890182,-24.1797939,27.4573,5.042064540443823,-0.4220170160086405,8.109045984268525,-23.699406776990134,-11.246546800408225
1652,HD 180053 b,HD 180053,1,1,,5131.0,4.06,1.75,288.4008374,34.9146658,137.043,5.033544178138802,0.6093758754434601,35.47293458358464,-106.63037212400334,78.4373539949258
1653,HD 18015 b,HD 18015,1,1,,5603.0,3.13,1.49,43.3636339,-8.8480392,123.801,0.7568381871844295,-0.15442741638552507,88.93356588696902,83.99343169949084,-19.042370938806588
1654,HD 180314 b,HD 180314,1,1,,4917.0,9.2,2.6,288.7094401,31.8604391,122.362,5.038930311334346,0.5560695634261389,33.33640302805327,-98.43475305987293,64.58902900023374
1657,HD 180617 b,HD 180617,2,1,,3534.0,0.48,0.48,289.2277322,5.1631615,5.91059,5.047976214966423,0.09011416798720921,1.9385994081931486,-5.558235429153257,0.5319073197077581
1659,HD 180902 b,HD 180902,2,1,,5030.0,4.1,1.52,289.8239604,-23.5582432,104.577,5.058382360149661,-0.411168909825565,32.509454710262325,-90.18013937630027,-41.7974490311605
1662,HD 181234 b,HD 181234,1,1,G5,5386.0,1.05,1.01,289.9998695,-9.32497,47.7458,5.061452553128881,-0.16275142914969565,16.114126407910334,-44.27351219738297,-7.736437517234198
1664,HD 181342 b,HD 181342,1,1,,4945.0,4.71,1.69,290.2674078,-23.6196996,120.391,5.06612197733907,-0.41224152635198763,38.20996766042573,-103.47582286113257,-48.236348696815085
1668,HD 181433 b,HD 181433,1,3,,4918.0,0.79,0.63,291.2873731,-66.4677838,26.8762,5.083923730080162,-1.1600816738137483,3.895742595945737,-9.998573281228836,-24.641060212702513
1678,HD 181720 b,HD 181720,1,1,,5736.0,1.5,1.03,290.7212224,-32.9208401,60.2046,5.074042536302691,-0.5745770522675793,17.88109587303954,-47.26799012974,-32.719984422887045
1680,HD 183263 b,HD 183263,1,2,,5867.0,1.29,1.06,292.1022982,8.3579183,54.1955,5.098146856232306,0.1458731929476872,20.175103491183688,-49.679571707681134,7.87766299808487
1690,HD 183579 b,HD 183579,1,1,,5788.0,0.98,1.03,293.2866147,-54.5327284,57.2651,5.1188170785430005,-0.9517756606758194,13.135809726719927,-30.520633731989193,-46.63939426526864
1693,HD 185269 b,HD 185269,3,1,,6048.0,2.0,1.57,294.2987668,28.499514,51.9917,5.136482465218976,0.49741035451821924,18.801773367824566,-41.64370192696615,24.807907548460406
1697,HD 187085 b,HD 187085,1,1,,6117.0,1.27,1.19,297.3915731,-37.7809929,45.8993,5.1904621182804,-0.6594027207776008,16.68988094272128,-32.20963822474149,-28.119971906797147
1699,HD 187123 b,HD 187123,1,2,,5765.94,1.15,1.02,296.7428786,34.41899,45.9548,5.179140263415821,0.6007247007110031,17.058717514816802,-33.85434379104796,25.97551166516676
1709,HD 18742 b,HD 18742,1,1,,4940.0,5.13,1.36,45.0443115,-20.8027024,162.685,0.7861715449689457,-0.36307565019252647,107.45316929313313,107.61950256724502,-57.77774918634349
1712,HD 188015 b,HD 188015,2,1,,5649.5,1.13,1.04,298.0191857,28.0999769,50.6706,5.2014160245774015,0.4904371166393494,20.99761047275006,-39.45888065378083,23.866436607615675
1715,HD 189733 b,HD 189733,2,1,,,0.77,,300.1821223,22.7097759,19.7638,5.239166389759293,0.3963603618450585,9.165919635258305,-15.759935817687287,7.630080648483579
1731,HD 190007 b,HD 190007,1,1,,4610.0,0.79,0.77,300.6956339,3.3266992,12.7141,5.248128857926478,0.058061854263461346,6.479323783777677,-10.914319435357204,0.7377895214469732
1732,HD 190360 b,HD 190360,2,2,G6 IV,5590.0,1.13,0.96,300.9092476,29.894541,16.0069,5.251857120318845,0.5217581688224382,7.12837982649226,-11.906293335113483,7.9779212629287395
1743,HD 190647 b,HD 190647,1,1,,5628.0,,1.1,301.8318167,-35.5395236,54.4738,5.267958988691006,-0.6202817014102283,23.378829521808967,-37.659481072322286,-31.66368111880855
1746,HD 190984 b,HD 190984,1,1,F8 V,5988.0,1.53,0.91,302.8779827,-64.6202728,148.187,5.286218029913425,-1.127836523896935,34.47936149057419,-53.34191272476591,-133.88502883842455
1747,HD 191806 b,HD 191806,1,1,,6010.0,,1.14,302.368758,52.2767265,65.6668,5.277330382265944,0.9124009995895715,21.510015328919426,-33.93524726195848,51.94080145761509
1748,HD 191939 b,HD 191939,1,3,,5555.7,0.92,,302.0256247,66.8503014,53.6089,5.2713415764077105,1.166757865380575,11.176319350967969,-17.86806267715306,49.29235621412826
1753,HD 192263 b,HD 192263,1,1,K2 V,,,,303.4990864,-0.8657574,19.6359,5.297058334474744,-0.015110317153505555,10.836281161454039,-16.372402158345533,-0.2966933860381556
1760,HD 192310 b,HD 192310,1,2,,5166.0,,0.8,303.8284712,-27.0337556,8.79687,5.302807183740767,-0.47182804439945514,4.362208587064898,-6.509190066581878,-3.998312483654706
1764,HD 192699 b,HD 192699,1,1,G8 IV,5220.0,3.9,1.68,304.0248392,4.5805708,71.8627,5.306234451886323,0.07994604208071068,40.0825031510252,-59.36921960095708,5.739020509755106
1768,HD 195019 b,HD 195019,2,1,,5788.0,,1.07,307.0792427,18.7692509,37.6681,5.359543849645762,0.32758522633790893,21.503099154695544,-28.45361381373804,12.119997743068579
1775,HD 196050 b,HD 196050,3,1,,5918.0,,1.1,309.4637796,-60.6347649,50.6742,5.401161869686061,-1.0582762886776902,15.794014089188712,-19.184367668933138,-44.16314868455035
1779,HD 196067 b,HD 196067,2,1,G1 V,6017.0,1.73,1.29,310.4364195,-75.3514992,39.9346,5.418137638377329,-1.3151317573538732,6.550249079943366,-7.686612093410533,-38.636543694747544
1780,HD 196885 A b,HD 196885 A,2,1,,6254.0,1.31,1.28,309.9664609,11.2500236,34.1692,5.4099353134592665,0.19634995274706554,21.52648204339611,-25.684781287648473,6.666094034815838
1783,HD 197037 b,HD 197037,2,1,F7 V,6150.0,,1.11,309.8869681,42.247593,33.1944,5.408547902367636,0.7373595988925088,15.757434271511846,-18.854392860008282,22.317780499401202
1784,HD 19994 b,HD 19994,3,1,,6217.0,,1.34,48.1943193,-1.1963955,22.5242,0.8411495525424487,-0.020881040631043818,15.011502157184688,16.78610174084561,-0.470294557505594
1786,HD 20003 b,HD 20003,1,2,G8 V,5494.0,,0.88,46.9090081,-72.3219221,41.8316,0.8187166401896895,-1.2622556620158516,8.678127947312987,9.276572688831564,-39.8562172444763
1788,HD 200964 b,HD 200964,1,2,,4982.0,4.92,1.39,316.6664183,3.8033357,72.5922,5.526871629832624,0.0663807305236433,52.68514746953833,-49.70630471769987,4.815185174442046
1793,HD 202206 c,HD 202206,2,1,,,,,318.7405221,-20.7897284,45.9665,5.563071570170751,-0.3628492111753727,32.30456812230577,-28.339800983471676,-16.315320435055018
1796,HD 202696 b,HD 202696,1,2,K0 III-IV,5040.0,6.43,1.91,319.2250346,27.2582799,188.546,5.57152790856282,0.4757467326851907,126.92638022654616,-109.46316933856585,86.35451740900815
1798,HD 202772 A b,HD 202772 A,2,1,,6188.0,2.62,,319.6995877,-26.6163743,161.498,5.579810422633366,-0.464543366478201,110.11601208508688,-93.38653171519783,-72.35346281058942
1800,HD 203030 b,HD 203030,1,1,G8 V,,,,319.7432238,26.2305846,39.2503,5.580572016251096,0.4578100659929198,26.869507101058048,-22.752172554392455,17.34803396040433
1802,HD 203473 b,HD 203473,1,1,G5,5780.0,1.33,1.12,320.5794196,5.0235858,72.6402,5.595166386152443,0.08767811246643335,55.89940392489701,-45.94992424585402,6.3607985883445215
1803,HD 2039 b,HD 2039,1,1,,5945.0,1.19,1.23,6.0851069,-56.649988,85.6922,0.10620515074082534,-0.9887288118152775,46.844035522443626,4.993868156878419,-71.58107820956427
1806,HD 204313 b,HD 204313,1,2,,5783.0,1.1,1.03,322.0510568,-21.7274194,47.7945,5.620851300687274,-0.3792150064916908,35.01120587710064,-27.303544071281095,-17.69311093134513
1811,HD 204941 b,HD 204941,2,1,,5056.0,0.72,0.74,323.0966714,-20.957957,28.7165,5.639100718164197,-0.36578535414139324,21.443973396478544,-16.10253881863347,-10.271398191849187
1813,HD 205739 b,HD 205739,1,1,,6176.0,1.33,1.22,324.5351273,-31.7378373,92.5087,5.664206509763935,-0.5539297583472673,64.07878942725397,-45.64770818186069,-48.66266596654292
1814,HD 206255 b,HD 206255,1,1,G5 IV/V,5635.0,,1.42,325.5917768,-50.0935884,75.2363,5.682648522578487,-0.8742980517188382,39.82163738384608,-27.27483979882678,-57.71326665254538
1815,HD 206610 b,HD 206610,1,1,,4890.0,4.92,1.93,325.8537599,-7.4082451,147.192,5.687220990258068,-0.12929826878973658,120.80036384083297,-81.93025340717945,-18.978686375978157
1818,HD 20781 b,HD 20781,2,5,K0 V,5256.0,,0.7,50.0139757,-28.7841175,35.9715,0.8729085479774358,-0.5023776226559189,20.259188740269707,24.155924629939417,-17.320663645161392
1822,HD 20782 b,HD 20782,2,5,,5790.0,1.11,1.07,50.0166232,-28.8543535,35.9864,0.8729547555693823,-0.5036034721093496,20.252799605463593,24.150572999993113,-17.366488328759438
1827,HD 207832 b,HD 207832,3,2,,5761.0,0.96,1.02,328.1517893,-26.0271749,58.9291,5.7273291695956985,-0.45425989699742586,44.980758687144174,-27.941677914562014,-25.85793514683221
1831,HD 20794 b,HD 20794,1,4,G8,,,0.81,49.9997666,-43.0666533,6.00278,0.8726605523986907,-0.7516548978998813,2.8188879798866386,3.3593920852059513,-4.098990498050249
1838,HD 208487 b,HD 208487,1,1,,,,1.05,329.3332489,-37.7641354,45.147,5.747949529594994,-0.6591085018989459,30.699076544253163,-18.203690763641227,-27.648579546005763
1841,HD 208527 b,HD 208527,1,1,M1 III,4035.0,51.1,1.6,329.0999413,21.239922,312.202,5.743877543805068,0.370706571766779,249.6921175827335,-149.43799701346265,113.10269788848862
1842,HD 20868 b,HD 20868,1,1,,4802.0,0.76,0.39,50.1794053,-33.72969,47.7223,0.875795839177693,-0.5886941461770061,25.416296940234698,30.48330020124774,-26.499022170193854
1844,HD 208897 b,HD 208897,1,1,K0,4860.0,4.98,1.25,329.7490639,19.0201591,67.4872,5.755206870424174,0.3319644005481614,55.114483667349845,-32.14302361077507,21.994133014933382
1845,HD 209458 b,HD 209458,1,1,,,1.15,,330.7950219,18.8842419,48.3016,5.773462281361748,0.32959219789806976,39.892118654528495,-22.299500352373794,15.633160775975568
1863,HD 210193 b,HD 210193,1,1,G3 V,5790.0,,1.04,332.3951324,-41.225205,42.2029,5.8013894779824815,-0.719515562059629,28.12849978153968,-14.708267240509159,-27.81257167598292
1864,HD 210277 b,HD 210277,1,1,,5555.0,,1.01,332.3748117,-7.5505962,21.2985,5.801034814861172,-0.13178276417857226,18.706845326820343,-9.790176327843398,-2.798658185301428
1869,HD 210702 b,HD 210702,1,1,,4967.0,5.1,1.68,332.9638643,16.0404806,54.1963,5.8113157221986045,0.27995920007227554,46.394274506663386,-23.675932125600614,14.975328533101262
1872,HD 211403 b,HD 211403,1,1,F7 V,6273.0,1.21,1.2,333.8158177,58.2755601,83.0919,5.826185114102165,1.017100397188836,39.208865734199634,-19.27971031901829,70.67688068571111
1873,HD 211810 b,HD 211810,1,1,G5,5652.0,1.13,1.03,334.5286724,61.1349912,64.6353,5.838626775705481,1.0670068846177592,28.16967066800572,-13.418943793508808,56.604978650404504
1874,HD 211970 b,HD 211970,1,1,K7 V,4127.0,,0.61,335.5661579,-54.5596006,13.1277,5.856734313622181,-0.9522446690430738,6.930422686678357,-3.1487163013673083,-10.69538846080299
1875,HD 212301 b,HD 212301,2,1,,6239.0,1.16,1.55,336.8803957,-77.7183219,54.2304,5.8796720903863475,-1.3564406062798153,10.609308193081922,-4.5295445637783045,-52.98926391137125
1877,HD 212771 b,HD 212771,1,1,,5069.0,4.55,2.41,336.762413,-17.2641046,111.155,5.877612903810954,-0.30131546767869866,97.53612031253053,-41.87979522614921,-32.98821018478237
1880,HD 213240 b,HD 213240,2,1,,5975.0,,1.22,337.7506266,-49.4341037,40.8707,5.8948604848439405,-0.8627878723373112,24.600164216426432,-10.063878837592348,-31.04777579404221
1882,HD 213472 b,HD 213472,1,1,,5729.54,1.43,1.05,337.7069969,40.7222277,64.4527,5.894099002927283,0.7107369521118376,45.1964412640138,-18.52996405159758,42.048456173860316
1883,HD 213885 b,HD 213885,1,2,G,5978.0,1.1,1.07,338.9837166,-59.864829,48.0883,5.916381965317358,-1.0448383721933845,22.536349443042262,-8.658243399340783,-41.5888491294104
1886,HD 21411 b,HD 21411,1,1,G8 V,5605.0,,0.89,51.5474155,-30.6168403,29.1328,0.8996721213685591,-0.5343646697922885,15.591111285880977,19.63404264178207,-14.837171369636401
1887,HD 214823 b,HD 214823,2,1,G0 V,6215.0,,1.22,340.0832062,31.7875183,101.368,5.935571678928794,0.5547968553729506,81.00996986764163,-29.35205865502395,53.39768589326532
1889,HD 215152 b,HD 215152,1,4,K3 V,4935.0,0.73,0.77,340.8380941,-6.4020685,21.5974,5.948746958267258,-0.1117371742632146,20.27357054415895,-7.044893869735501,-2.408213967896908
1893,HD 215497 b,HD 215497,1,2,K3 V,5113.0,,0.87,341.652714,-56.5997984,40.5468,5.962964757674526,-0.9878528380450184,21.185719215900622,-7.025908898185151,-33.85033080635138
1896,HD 216435 b,HD 216435,1,1,,5999.0,,1.3,343.4094703,-48.5986332,32.9834,5.993625939264679,-0.8482061613090279,20.90482803485955,-6.228237695501107,-24.740693110769747
1898,HD 216437 b,HD 216437,1,1,,,,1.15,343.6639631,-70.0733957,26.6902,5.998067676547299,-1.2230114730178367,8.729213724176448,-2.558561652341194,-25.0922570939487
1901,HD 216520 b,HD 216520,1,2,,5103.0,0.76,0.82,341.8768719,83.6975307,19.552,5.966877051073883,1.4607974865040343,2.0398822700263177,-0.6676478078113722,19.43383211641896
1904,HD 216536 b,HD 216536,1,1,K0,4639.0,12.5,1.36,343.2665641,44.4777303,376.233,5.991131755553165,0.7762828375490453,257.08318503709864,-77.29220916293131,263.6008737900817
1906,HD 216770 b,HD 216770,1,1,,5399.0,0.93,0.74,343.9748751,-26.6595286,36.6625,6.00349411463126,-0.4652965510995944,31.491638024496268,-9.045028697055844,-16.450018135355876
1908,HD 21693 b,HD 21693,1,2,G8 V,5430.0,,0.8,51.8040469,-58.3232726,33.255,0.9041511842625617,-1.017933137408194,10.79833720434353,13.72423343072898,-28.300818987445428
1910,HD 217107 b,HD 217107,1,2,,5622.0,1.11,1.0,344.5647243,-2.3954489,20.0619,6.013788925261514,-0.041808470368276396,19.32140315450369,-5.334801557936636,-0.8385130223029693
1924,HD 217786 b,HD 217786,2,1,F8 V,5966.0,1.27,1.02,345.7838088,-0.4303594,55.4847,6.0350659636465425,-0.007511188496907285,53.78401875540758,-13.625622124404584,-0.41675212165164804
1925,HD 217850 b,HD 217850,1,1,G8 V,5544.0,1.21,1.03,345.6526588,58.8754484,65.7969,6.032776964332552,1.0275704231680276,32.94968999129778,-8.427770655791896,56.3251512280326
1926,HD 218566 b,HD 218566,1,1,,4820.0,0.86,0.85,347.297417,-2.2611645,28.8274,6.061483410321728,-0.03946476545421132,28.09994218726143,-6.333926616437,-1.1373712894900414
1929,HD 219077 b,HD 219077,1,1,G8 V,5362.0,1.91,1.05,348.5319387,-62.7018297,29.1864,6.083029878674045,-1.0943533752897683,13.118268784921481,-2.6613275343614347,-25.935965468850476
1931,HD 219134 b,HD 219134,1,6,,4817.14,0.76,0.79,348.3372026,57.1696255,6.53127,6.079631092556553,0.9977981971071095,3.467846979636193,-0.7158086331035237,5.488091028718693
1951,HD 219415 b,HD 219415,1,1,K0 III,4820.0,2.9,1.0,348.7243579,56.7303001,165.184,6.086388227258098,0.9901305223894684,88.86766392447605,-17.71822646456897,138.10994394161713
1952,HD 219666 b,HD 219666,1,1,,5586.0,1.05,,349.5592665,-56.9039857,94.1719,6.100960131281314,-0.9931619079727703,50.57057181085416,-9.318604980799043,-78.8931404974163
1954,HD 219828 b,HD 219828,1,2,G0 IV,5891.0,,1.24,349.6947029,18.6457524,73.114,6.1033239423883625,0.3254297708916347,68.15896183772007,-12.393092308217652,23.375717748215052
1960,HD 220074 b,HD 220074,1,1,M2 III,3935.0,49.7,1.2,350.0599827,61.9701062,324.54,6.109699277589389,1.0815823910005515,150.22243358128006,-26.326141183882015,286.4722784830746
1962,HD 220197 b,HD 220197,1,1,,5683.0,0.98,0.91,350.4946927,16.6323305,64.411,6.117286398380734,0.2902889295048747,60.868778763041135,-10.191736497557786,18.43630114909986
1963,HD 220689 b,HD 220689,1,1,,5921.0,1.07,1.02,351.4707282,-20.6167923,46.8778,6.134321431472083,-0.35983090683481456,43.390321657112494,-6.50739153134176,-16.50642222863986
1965,HD 220773 b,HD 220773,1,1,F9,5940.0,,1.16,351.6144715,8.6428871,50.5103,6.136830225334765,0.1508468367731444,49.40285030602882,-7.282428680959867,7.590455864889917
1966,HD 220842 b,HD 220842,2,1,F8,5960.0,,1.13,351.6534162,56.8871415,64.6498,6.137509938575966,0.9928679212229058,34.94345605533045,-5.126717476883012,54.15042277638663
1967,HD 221287 b,HD 221287,1,1,,6304.0,,1.25,352.836223,-58.209754,55.9231,6.158153811650945,-1.0159518640759393,29.2309304513901,-3.6739517416345238,-47.53365015603299
1968,HD 221416 b,HD 221416,1,1,,5105.0,2.9,,353.0331863,-21.8012007,95.5483,6.161591469741538,-0.3805027331030925,88.05948169839849,-10.760574566444411,-35.4854244852645
1970,HD 221420 b,HD 221420,1,1,,5830.0,,1.67,353.3319001,-77.3853286,31.1415,6.166805009072681,-1.3506287768077339,6.755083420203153,-0.7897272997072917,-30.389771322407043
1972,HD 221585 b,HD 221585,1,1,G8 IV,5620.0,,1.19,353.2293802,63.1556146,55.8535,6.165015699268866,1.1022734158906016,25.045807853107384,-2.9735069351775536,49.8345184359363
