,planet_name,starname,number_stars,number_planets,spectral_type,star_temp,star_radius,star_mass,right_ascencion,declination,distance,alpha,delta,X,Y,Z
138,AU Mic b,AU Mic,1,2,,3700.0,0.75,0.5,311.2911369,-31.34245,9.7221,5.433055271181415,-0.5470289481416968,5.479286089324932,-6.238886611451773,-5.05697006227821
141,BD+03 2562 b,BD+03 2562,1,1,,4095.0,32.35,1.14,177.5647268,2.7601075,1070.63,3.0990891180642146,0.04817296358398939,-1068.4221635128984,45.439085347161104,51.55547436724249
142,BD+14 4559 b,BD+14 4559,1,1,K2 V,5008.0,0.95,0.86,318.4010002,14.6893834,49.352,5.557145795133124,0.2563781054177992,35.69962489686002,-31.69449572562997,12.514616531141327
144,BD+15 2375 b,BD+15 2375,1,1,,4649.0,8.95,1.08,176.4820239,14.6163182,768.045,3.080192387638324,0.25510287710917107,-741.7885525085082,45.603336894125384,193.812283038132
145,BD+15 2940 b,BD+15 2940,1,1,K0,4796.0,14.7,1.1,240.09564,15.5467507,426.42,4.190459437682998,0.2713419877017332,-204.81492535010807,-356.1213586538503,114.29103492560301
146,BD+20 2457 b,BD+20 2457,1,2,K2 II,4137.0,49.0,2.8,154.186782,19.8912626,1539.71,2.6910670089547275,0.34716802474880787,-1303.381967498753,630.4504586697456,523.8650112979369
149,BD+20 274 b,BD+20 274,1,1,K5 III,4296.0,17.3,0.8,25.9203179,21.0052692,1322.51,0.4523948905186223,0.3666111078077553,1110.4259863345524,539.6805896792436,474.05874118762983
150,BD+20 594 b,BD+20 594,1,1,G,5766.0,0.93,0.96,53.6511231,20.5990205,179.461,0.9363887454877869,0.3595207304108086,99.56612794341711,135.3007967756295,63.138982247379566
154,BD+45 564 b,BD+45 564,1,1,K1,5004.0,,0.81,32.9470485,45.9242187,53.622,0.575034475139259,0.8015288227209499,31.30113638446778,20.286092741639273,38.52313832385099
155,BD+48 738 b,BD+48 738,1,1,K0 III,4414.0,11.0,0.74,40.7102869,49.5869395,871.493,0.7105285458365155,0.8654553602622307,428.26702919159254,368.50155711631595,663.5465342832092
156,BD+48 740 b,BD+48 740,1,1,,4534.0,10.33,1.09,40.7425426,48.9300579,666.589,0.711091514004051,0.8539906135464623,331.8018253426041,285.8235027013951,502.54688231429884
157,BD+49 828 b,BD+49 828,1,1,K0,4943.0,7.6,1.52,45.6406187,49.7299481,442.042,0.796579068962294,0.8679513311908983,199.77142365755645,204.28937758743166,337.28082996039495
158,BD+55 362 b,BD+55 362,1,1,K3,5012.0,,0.91,23.9636676,56.6982282,52.5697,0.4182449004734875,0.989570762137098,26.37539724661704,11.723048521156121,43.9372497039103
159,BD+63 1405 b,BD+63 1405,1,1,K0,5000.0,,0.82,271.3979337,63.6700064,38.0473,4.736787526174276,1.1112512464458617,0.41169719493117957,-16.870493114488447,34.100058721117826
160,BD-00 4475 b,BD-00 4475,1,1,G0,5040.0,,0.81,347.7108441,0.4085612,42.6402,6.068699074433699,0.007130738135899057,41.66207795052824,-9.075542316519792,0.3040535235238859
161,BD-06 1339 b,BD-06 1339,1,2,K7/M0 V,4324.0,,0.7,88.2511811,-5.9963378,20.2695,1.540273678968791,-0.10465583767179323,0.6151982216666052,20.149207473118775,-2.1174512044608735
163,BD-08 2823 b,BD-08 2823,1,2,K3 V,4746.0,,0.74,150.1971964,-9.5165689,41.3342,2.621435604444574,-0.16609546079789497,-35.37377259313833,20.261049280205302,-6.833899635934696
166,BD-10 3166 b,BD-10 3166,1,1,K0 V,5400.0,,1.1,164.6191243,-10.7704227,84.4069,2.8731457307848056,-0.18797933794653746,-79.95011259157643,21.993222044665064,-15.773472930788301
170,BD-11 4672 b,BD-11 4672,1,2,,4550.0,0.64,0.65,278.3688659,-11.6370481,27.1665,4.858453244997568,-0.20310480455795032,3.872686746158518,-26.32475879727551,-5.47978958367871
173,BD-13 2130 b,BD-13 2130,1,1,,4545.0,19.17,2.12,114.2884692,-13.9066703,925.214,1.9947100846041297,-0.2427171847243076,-369.41408587559977,818.6007199424971,-222.36690460210272
175,BD-17 63 b,BD-17 63,1,1,K5 V,4714.0,0.69,0.74,7.1413494,-16.2273254,34.4603,0.12464006006532155,-0.28322025702250586,32.83074321274115,4.113348386412626,-9.629898298582761
177,CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,,580.5,,0.02,224.6208333,10.2286111,,3.92037310965832,0.17852294160103896,,,
178,CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,M9-L1,2320.0,0.24,0.01,246.934277,-23.98115,,4.309816169681706,-0.41855002591463814,,,
179,CHXR 73 b,CHXR 73,1,1,M3.5,,,0.35,166.6193985,-77.6258725,190.374,2.908057101517501,-1.3548270598583219,-39.68862084236593,9.440964410310917,-185.95144915443427
180,CI Tau b,CI Tau,1,1,K7,,,0.9,68.4667685,22.8416192,157.998,1.1949705385257392,0.3986614615267532,53.4440855263146,135.44528624629802,61.33247231209874
181,COCONUTS-2 b,COCONUTS-2 A,1,1,M3 V,3406.0,0.39,0.37,117.300914,-76.702696,10.8864,2.047287164898712,-1.3387145903562845,-1.1484549684327685,2.2250036496800307,-10.594532311734795
182,CT Cha b,CT Cha,1,1,,,,,166.0375038,-76.4553693,190.72,2.8979011231025966,-1.3343979251131923,-43.34740221178853,10.777588617467304,-185.41565388359763
183,CoRoT-1 b,CoRoT-1,1,1,,5950.0,,,102.0798591,-3.1021394,787.909,1.7816296412668955,-0.05414254638584138,-164.64790491577523,769.3332261385601,-42.63856056530318
188,CoRoT-10 b,CoRoT-10,1,1,K1 V,5075.0,0.79,0.89,291.0636813,0.7460143,338.386,5.080019571660449,0.013020405801960734,121.60743141770764,-315.74880294173073,4.405798548691827
191,CoRoT-11 b,CoRoT-11,1,1,,6440.0,1.37,1.26,280.6872998,5.9376586,655.037,4.898917550042421,0.10363169242935698,120.82411566045651,-640.2213917861641,67.7611536446633
196,CoRoT-12 b,CoRoT-12,1,1,,,1.05,1.0,100.7656871,-1.2964437,1126.37,1.7586930129293765,-0.022627211131737608,-210.3441903889055,1106.261832451243,-25.48443704016237
200,CoRoT-13 b,CoRoT-13,1,1,,5945.0,1.27,1.09,102.7211432,-5.0864557,1148.93,1.792822160252584,-0.08877539922183295,-252.00517914444902,1116.3142500684899,-101.86279830438376
203,CoRoT-14 b,CoRoT-14,1,1,,6035.0,1.19,1.12,103.4242023,-5.5360385,1744.6,1.8050928563836923,-0.0966220993421681,-403.1350818003198,1689.0188798293427,-168.30475157250387
206,CoRoT-16 b,CoRoT-16,1,1,G5 V,5650.0,1.19,1.1,278.5246658,-6.0026026,732.409,4.861172466226846,-0.10476517905877218,107.97350459494113,-720.3461211594126,-76.5906738257017
208,CoRoT-17 b,CoRoT-17,1,1,,5740.0,1.62,1.04,278.699236,-6.612288,1176.12,4.864219290992711,-0.11540619669011082,176.70209655953713,-1154.8563625714276,-135.43044450844667
