"id","naam","payloadLEO","jaar","massa"
"2221","Commercial Titan III","13100","1990","0"
"2222","Delta 0300","0","1972","0"
"2223","Delta 0900","1300","1972","0"
"2224","Delta 1410","340","1975","0"
"2225","Delta 1604","390","1972","0"
"2226","Delta 1900","1800","1973","0"
"2227","Delta 1910","1066","1975","0"
"2228","Delta 1913","328","1973","0"
"2229","Delta 1914","0","1972","0"
"2230","Delta 2310","336","1974","130392"
"2231","Delta 2313","0","1974","130392"
"2232","Delta 2910","1887","1975","130392"
"2233","Delta 2913","2000","1975","130392"
"2234","Delta 2914","0","1974","130392"
"2235","Delta 3910","2494","1980","0"
"2236","Delta 3913","816","1981","0"
"2237","Delta 3914","0","1975","0"
"2238","Delta 3920","3452","1982","0"
"2239","Delta 3924","0","1982","0"
"2240","Delta 4925","3400","1989","200740"
"2241","Delta 5920","3848","1989","201580"
"2242","Delta II 6920","3983","1990","286000"
"2243","Delta II 6925","0","1989","286000"
"2244","Delta II 7320","2865","1999","286000"
"2245","Delta II 7326","0","1998","286000"
"2246","Delta II 7420","3185","1998","286000"
"2247","Delta II 7425","0","1998","286000"
"2248","Delta II 7426","0","1999","286000"
"2249","Delta II 7920","5030","1998","286000"
"2250","Delta II 7925","0","1990","286000"
"2251","Delta II-H 7920H","6097","2003","286000"
"2252","Delta II-H 7925H","0","2003","286000"
"2253","Delta III 8930","8292","1998","301450"
"2254","Delta IV M","9440","2003","733400"
"2255","Delta IV M+(4,2)","13140","2002","733400"
"2256","Delta IV M+(5,2)","11470","2012","733400"
"2257","Delta IV M+(5,4)","14140","2009","733400"
"2258","Diamant","107","1965","18400"
"2259","Dnepr","3700","1999","211000"
"2260","Energia[b]","100000","1987","2400000"
"2261","Energia-Buran","30000","1988","2400000"
"2262","Falcon 1","470","2006","28000"
"2263","Falcon 9 v1.0","10450","2010","333400"
"2264","Falcon 9 v1.1","13150","2013","505846"
"2265","Feng Bao 1","2500","1972","191700"
"2266","GSLV Mk.I(a)","5000","2001","414750"
"2267","GSLV Mk.I(b)","5000","2003","414750"
"2268","GSLV Mk.I(c)","5000","2010","414750"
"2269","H-I","1400","1986","142260"
"2270","H-II / IIS","10060","1994","260000"
"2271","H-IIA 2022","0","2005","445000"
