,index,planet_name,starname,number_stars,number_planets,spectral_type,star_temp,star_radius,star_mass,right_ascencion,declination,distance,alpha,delta,X,Y,Z
30,205,CoRoT-14 b,CoRoT-14,1,1,F9 V,6035.0,1.21,1.13,103.4242023,-5.5360385,1744.6,1.8050928563836923,-0.0966220993421681,-403.1350818003198,1689.0188798293427,-168.30475157250387
31,206,CoRoT-16 b,CoRoT-16,1,1,G5 V,5650.0,1.19,1.1,278.5246658,-6.0026026,732.409,4.861172466226846,-0.10476517905877218,107.97350459494113,-720.3461211594126,-76.5906738257017
32,210,CoRoT-17 b,CoRoT-17,1,1,G2 V,5740.0,1.59,1.04,278.699236,-6.612288,1176.12,4.864219290992711,-0.11540619669011082,176.70209655953713,-1154.8563625714276,-135.43044450844667
33,212,CoRoT-18 b,CoRoT-18,1,1,G9 V,5440.0,1.0,0.95,98.1724172,-0.0316045,764.889,1.7134319147815125,-0.0005516025834465479,-108.73081222747197,757.1212682135653,-0.4219147270541696
34,216,CoRoT-19 b,CoRoT-19,1,1,F9 V,6090.0,1.65,1.21,97.0335983,-0.1707293,790.663,1.6935557753925723,-0.002979788414625155,-96.81732383965063,784.7093950082115,-2.3560049607199036
35,227,CoRoT-20 b,CoRoT-20,1,2,G2 V,5880.0,1.02,1.14,97.7204249,0.2268931,844.061,1.7055431609528504,0.003960031645056746,-113.3897966313425,836.403343750948,3.3424995342458543
36,234,CoRoT-22 b,CoRoT-22,1,1,G3 V,5939.0,1.14,1.1,280.6671392,6.2191669,627.158,4.898565681193244,0.10854493913604894,115.40563629188391,-612.6929781138252,67.94122935359027
37,236,CoRoT-23 b,CoRoT-23,1,1,G0 V,5900.0,1.61,1.14,279.7826586,4.3577516,1060.97,4.883128582553229,0.07605711340405093,179.74957851086305,-1042.5202172961153,80.61653958107911
38,238,CoRoT-24 b,CoRoT-24,1,2,K1 V,4950.0,0.86,0.91,101.922543,-3.7192892,591.555,1.7788839573554989,-0.06491384237386588,-121.95146068404287,577.5748098596163,-38.37314526666267
39,241,CoRoT-25 b,CoRoT-25,1,1,F9,6040.0,1.19,1.09,280.6296561,6.5138223,1103.48,4.897911477684389,0.11368764602482984,202.23401927494098,-1077.5430314871273,125.1819761045277
40,243,CoRoT-26 b,CoRoT-26,1,1,G5,5590.0,1.79,1.09,279.7504991,6.9697828,1045.18,4.882567293392434,0.12164565800886944,175.7016364958497,-1022.4699292323952,126.82827424585201
41,245,CoRoT-27 b,CoRoT-27,1,1,G2,5900.0,1.08,1.05,278.4958319,5.5383811,1010.28,4.860669219735655,0.09666298542522532,148.55944159410637,-994.5293407406255,97.50467229453244
42,246,CoRoT-28 b,CoRoT-28,1,1,G8/9 IV,5150.0,1.78,1.01,278.6883216,5.5736911,766.183,4.864028798776832,0.09727926118410452,115.1918925667465,-753.8099522385294,74.41621652595077
43,250,CoRoT-29 b,CoRoT-29,1,1,K0 V,5260.0,0.9,0.97,278.9020691,6.4795703,806.507,4.867759396419738,0.11308983584943673,124.00655685075763,-791.7022584335,91.01345449061539
44,253,CoRoT-3 b,CoRoT-3,1,1,F3 V,6740.0,1.56,1.37,292.0552827,0.1218359,768.771,5.097326280957835,0.0021264376021305595,288.67364681901114,-712.5122480987452,1.63474232984775
45,256,CoRoT-30 b,CoRoT-30,1,1,G3 V,5650.0,0.91,0.98,277.6011767,6.8359338,1032.23,4.845054540825567,0.11930955225836755,135.5693710232572,-1015.8860269589899,122.86292675106289
46,257,CoRoT-31 b,CoRoT-31,1,1,G2 IV,5700.0,2.15,1.25,94.820735,-4.4222978,2005.76,1.6549340249110254,-0.07718365711370169,-168.0591504464442,1992.7142625784834,-154.6582272868475
47,261,CoRoT-5 b,CoRoT-5,1,1,F9 V,6100.0,1.19,1.0,101.2772396,0.8152163,882.472,1.767621288351185,0.01422820855092585,-172.55574346067328,865.3460023563129,12.555572017332405
48,265,CoRoT-6 b,CoRoT-6,1,1,F9 V,6090.0,1.02,1.05,281.0725563,6.6632062,645.294,4.905641544432131,0.11629488692929979,123.09285169122435,-629.0041161567609,74.87535079299624
49,274,CoRoT-7 b,CoRoT-7,1,2,G9 V,5275.0,0.87,0.93,100.9561682,-1.0630076,159.906,1.7620175352871972,-0.018552982593722872,-30.386181859291955,156.96435357031535,-2.966563039455908
50,277,CoRoT-8 b,CoRoT-8,1,1,K1 V,5080.0,0.77,0.88,291.5885696,1.4262972,322.037,5.0891806007006455,0.024893582251976066,118.4532783428634,-299.3532975311245,8.015826599306513
51,281,CoRoT-9 b,CoRoT-9,2,1,G3 V,5625.0,0.94,0.99,280.7866461,6.2040783,412.98,4.900651470077095,0.10828159338653251,76.83751762147418,-403.30703959083843,44.63079768773493
52,285,CoRoTID 223977153 b,CoRoTID 223977153,1,1,G0 VI,5970.0,0.79,1.08,100.1951714,9.2573953,576.683,1.7487356355300565,0.16157202814364824,-100.74447654885202,560.1851301497369,92.77097009851785
