,index,planet_name,starname,number_stars,number_planets,spectral_type,star_temp,star_radius,star_mass,right_ascencion,declination,distance,alpha,delta,X,Y,Z
134,981,HATS-11 b,HATS-11,1,1,G0,6060.0,1.44,1.0,289.4007603,-22.3900092,944.603,5.050996125009893,-0.3907793800918216,290.1177108672604,-823.799001197581,-359.8079308131056
135,989,HATS-12 b,HATS-12,1,1,F,6408.0,2.21,1.49,289.202402,-19.3559227,746.138,5.047534119576234,-0.3378245808765106,231.5383871597757,-664.7979405225705,-247.29656000922995
136,996,HATS-15 b,HATS-15,1,1,G9 V,5311.0,0.92,0.87,311.0920041,-19.4375266,1139.55,5.429579748172699,-0.3392488376139789,706.3032364926607,-809.8787291303884,-379.21812288198925
137,997,HATS-16 b,HATS-16,1,1,G3 V,5738.0,1.24,0.97,358.5588439,-30.0130385,757.044,6.258032388199386,-0.5238263403528202,655.3258236040509,-16.48683439824561,-378.67118605090246
138,998,HATS-17 b,HATS-17,1,1,G V,5846.0,1.09,1.13,192.1895676,-47.6136789,400.331,3.3543407426042164,-0.8310154657923519,-263.78908973621014,-56.98294606864808,-295.69100350615884
139,1000,HATS-18 b,HATS-18,1,1,G V,5600.0,1.02,1.04,173.9574203,-29.1560639,624.368,3.0361297425106217,-0.5088693119768587,-542.2285441633272,57.397960210549684,-304.1859291324747
140,1002,HATS-2 b,HATS-2,1,1,K,5227.0,0.9,0.88,176.7388264,-22.5630097,341.925,3.0846744367906767,-0.393798808424418,-315.2420874931812,17.96241918800086,-131.19635435047743
141,1003,HATS-22 b,HATS-22,1,1,K V,4803.0,0.69,0.76,174.0098693,-29.5433642,229.518,3.0370451502500004,-0.5156289774058205,-198.58644480044816,20.837692292222982,-113.1712279930424
142,1004,HATS-23 b,HATS-23,1,1,G V,5780.0,1.2,1.12,286.36675,-50.0673496,639.004,4.998042655735472,-0.873840098267066,115.5791140576099,-393.54719676156964,-489.9879430463248
143,1005,HATS-24 b,HATS-24,1,1,F V,6346.0,1.17,1.21,268.8907069,-61.7474,494.182,4.693028163420035,-1.0776954345459466,-4.528711926067391,-233.8819725878108,-435.309732019312
144,1008,HATS-25 b,HATS-25,1,1,G,5715.0,1.11,0.99,207.9076746,-23.7812403,471.158,3.628673461934985,-0.41506094344296407,-381.0109964722439,-201.8002854816662,-189.992437509354
145,1009,HATS-26 b,HATS-26,1,1,F,6071.0,2.04,1.3,144.9268593,-28.5856004,861.843,2.529450869359564,-0.4989128456394081,-619.3691121576503,434.86627907645396,-412.36704387747045
146,1010,HATS-27 b,HATS-27,1,1,F,6438.0,1.74,1.42,193.5524603,-46.5877159,816.988,3.378127707570612,-0.8131090334387133,-545.835819067053,-131.57227809830403,-593.4824229944994
147,1011,HATS-28 b,HATS-28,1,1,G,5498.0,0.92,0.93,284.3997616,-49.1385126,535.383,4.963712231806936,-0.8576288344027193,87.1059550543059,-339.26115640203864,-404.90662755730335
148,1012,HATS-29 b,HATS-29,1,1,G,5670.0,1.07,1.03,285.0965172,-54.8933408,353.891,4.975872911108645,-0.9580695343793381,53.00667140459378,-196.49894801209322,-289.5121691703928
149,1014,HATS-3 b,HATS-3,1,1,F,6351.0,1.4,1.21,312.4574879,-24.4286938,411.211,5.453411936365343,-0.4263611387715252,252.73475442721008,-276.2227736915687,-170.0606060196018
150,1017,HATS-30 b,HATS-30,2,1,G,5943.0,1.06,1.09,5.618525,-59.9425892,342.14,0.09806176035561441,-1.0461955437103938,170.54352991989737,16.777611715569552,-296.1303695124542
151,1026,HATS-36 b,HATS-36,1,1,G0 V,6149.0,1.16,1.22,291.4787013,-23.2028183,856.436,5.087263037122076,-0.40496557507699343,288.2242969996583,-732.4984045341583,-337.4247531968649
152,1031,HATS-4 b,HATS-4,1,1,G,5403.0,0.93,1.0,94.1120914,-22.5468824,416.459,1.6425658608678397,-0.39351733393996113,-27.58083830729926,383.63725396912923,-159.68673522335047
153,1046,HATS-5 b,HATS-5,1,1,G,5304.0,0.87,0.94,67.2228465,-21.4820568,246.384,1.1732600039877463,-0.37493262126043697,88.76074431848362,211.38937970562296,-90.22824320411392
154,1058,HATS-6 b,HATS-6,1,1,M1 V,3724.0,0.57,0.57,88.1468079,-19.0316268,169.318,1.5384520229779486,-0.3321645496707924,5.176219191497448,159.9791435949162,-55.21291056916635
155,1069,HATS-7 b,HATS-7,1,1,K2,4985.0,0.81,0.85,208.8567465,-21.2078587,240.707,3.645237891428143,-0.3701469616127243,-196.54036594275493,-108.30260585744621,-87.0763456317193
156,1072,HATS-71 b,HATS-71,1,1,M3 V,3405.0,0.48,0.49,15.5518893,-61.7561333,140.225,0.2714316731906762,-1.0778478593855112,63.92852961298845,17.791314917192505,-123.5300078524993
157,1085,HD 100655 b,HD 100655,2,1,G9 III,4861.0,9.3,2.4,173.7653631,20.441541,137.178,3.032777712018461,0.3567721946314142,-127.77951749874417,13.95946082826488,47.909623721881495
158,1110,HD 102195 b,HD 102195,1,1,G8 V,5330.0,0.83,0.93,176.4254063,2.8209912,29.3386,3.0792042241037465,0.04923558460978586,-29.24603683977427,1.8269853239269518,1.4439195797279605
159,1113,HD 102272 b,HD 102272,1,1,K0,4908.0,10.1,1.9,176.5980316,14.1240201,347.097,3.08221710396099,0.24651065436285874,-336.01102074157643,19.974317414905546,84.69916170194651
160,1124,HD 103720 b,HD 103720,1,1,K3 V,5017.0,0.73,0.79,179.1713308,-2.7791393,45.5352,3.1271296476399257,-0.04850513115657045,-45.4768872728347,0.6577783562203726,-2.207824868048531
161,1130,HD 10442 b,HD 10442,1,1,K0 IV,4912.0,1.97,1.01,25.471524,2.7044193,135.374,0.4445619593007561,0.047201021139480284,122.07941141460894,58.15443291759484,6.387418625361189
162,1134,HD 104985 b,HD 104985,1,1,G9 III,4877.0,11.0,2.3,181.3157854,76.9053359,100.576,3.164557441069464,1.3422513238071965,-22.78055066816014,-0.5232424907952696,97.96072939985295
163,1147,HD 106315 b,HD 106315,1,2,F5 V,6290.0,1.18,1.07,183.4724742,-0.3934357,109.353,3.202198761570349,-0.006866748359888654,-109.14965582010616,-6.623247096803222,-0.7508936323145187
164,1159,HD 10647 b,HD 10647,1,1,F9 V,6218.0,1.1,1.11,25.6233526,-53.7412852,17.3357,0.4472118682694496,-0.9379623709932994,9.244585980913323,4.433897215262369,-13.978722402851751
165,1161,HD 106515 A b,HD 106515 A,2,1,G5,5362.0,1.62,0.97,183.7762699,-7.2575413,34.0915,3.20750099678875,-0.12666799128446954,-33.74494478856072,-2.22729939919025,-4.306763384881445
166,1175,HD 108236 b,HD 108236,1,5,G3 V,5730.0,0.89,0.97,186.5740627,-51.3630519,64.5978,3.2563316929373416,-0.8964543695277293,-40.0685897486187,-4.61771344171452,-50.458503772576314
167,1187,HD 108341 b,HD 108341,2,1,K2 V,5122.0,0.79,0.84,186.8791724,-71.4224896,48.9102,3.261656861782113,-1.2465576034914079,-15.469990201866958,-1.8663689150804217,-46.36166233286898
168,1203,HD 109246 b,HD 109246,1,1,G0 V,5844.0,1.02,1.01,188.027184,74.4893379,67.8349,3.281693444053202,1.3000842039855987,-17.96251288591084,-2.533157784740896,65.3644008652347
169,1207,HD 109286 b,HD 109286,1,1,G4 V,5694.0,1.09,0.98,188.3958418,7.2809064,55.4156,3.2881277364763606,0.12707578920952728,-54.3796651034705,-8.026057726543874,7.023043782049059
170,1209,HD 109749 b,HD 109749,2,1,G3 V,5824.0,1.22,1.13,189.3173489,-40.8121458,63.0821,3.304211069451865,-0.7123063190139752,-47.114198526868726,-7.729895138590782,-41.229265803882456
171,1211,HD 110014 b,HD 110014,1,1,K2 III,4445.0,20.9,2.17,189.8111935,-7.9956702,100.758,3.3128302837150594,-0.13955077089359352,-98.31919184904366,-17.002455020527147,-14.015263159352271
172,1215,HD 110082 b,HD 110082,2,1,F8 V,6200.0,1.19,1.21,192.5892855,-88.1211107,105.096,3.3613171360383736,-1.538003522229405,-3.362930020213258,-0.7510436468517201,-105.0394966244587
173,1216,HD 110113 b,HD 110113,1,2,G,5732.0,0.97,1.0,190.0365636,-44.3120777,106.307,3.316763733995608,-0.7733916542645561,-74.90341412343676,-13.256784573703648,-74.26247009371117
174,1223,HD 111998 b,HD 111998,1,1,F5 V,6557.0,1.45,1.18,193.2953521,-3.5531133,33.2237,3.3736403229467355,-0.06201352578140104,-32.27107117644675,-7.6257938660208024,-2.058998476849088
175,1224,HD 112640 b,HD 112640,1,1,K0 III,4155.0,39.0,1.8,194.2415171,67.2429122,323.335,3.390154017463868,1.173610216519464,-121.2302156952013,-30.76944691451752,298.16438111228115
176,1225,HD 113337 b,HD 113337,1,1,F6 V,6576.6,1.5,1.4,195.4438496,63.610328,36.18,3.4111386782926023,1.1102096618735395,-15.500402239244128,-4.282287596388235,32.40975074516086
177,1227,HD 113538 b,HD 113538,1,2,K9 V,4685.0,0.65,0.7,196.233933,-52.4463502,16.2817,3.424928234987954,-0.9153614916439865,-9.528084396099436,-2.7742846982397413,-12.90785447097694
178,1251,HD 11506 b,HD 11506,1,2,G0 V,6030.0,1.34,1.24,28.2106607,-19.507396,51.261,0.4923689133779683,-0.34046828869037177,42.57904367817684,22.84088410828044,-17.11751073036065
179,1258,HD 115954 b,HD 115954,1,1,G0 V,5957.0,1.21,1.18,199.9853694,38.3691383,87.6437,3.490403151847117,0.6696677944880599,-64.57707871760269,-23.48546182090741,54.40268501691113
180,1269,HD 11755 b,HD 11755,1,1,G5,4312.5,27.3,0.9,29.707836,73.1521372,235.045,0.5184995518425022,1.2767456490106257,59.16953522027559,33.760432906631046,224.95633197750496
181,1285,HD 120084 b,HD 120084,1,1,G7 III,4892.0,9.12,2.39,205.661989,78.0646376,103.044,3.5894788542503604,1.362484955496164,-19.208376276388417,-9.228677503315614,100.81634653350852
182,1290,HD 125390 b,HD 125390,1,1,G7 V,4850.0,6.47,1.36,214.5387463,38.9669132,153.647,3.7444074960358025,0.6801009346788397,-98.40595225205428,-67.7305636976436,96.62422010844824
183,1293,HD 125612 b,HD 125612,2,3,G3 V,5841.0,1.05,1.11,215.2227183,-17.4818147,57.6207,3.756345059427253,-0.30511522573854477,-44.89717511542936,-31.69814138455137,-17.309435805636816
184,1302,HD 12648 b,HD 12648,1,1,G5,4835.8,9.2,1.2,34.7480718,85.7365329,182.192,0.6064682616293925,1.4963847883494423,11.129204066326688,7.720048807013849,181.68782713012828
185,1328,HD 128356 b,HD 128356,1,1,K3 V,4875.0,0.85,0.65,219.2702793,-25.8031728,26.1548,3.826988325552567,-0.45035032282104426,-18.22937023544968,-14.904782502963334,-11.384686310929236
186,1352,HD 134987 b,HD 134987,1,2,G5 V,5585.0,1.25,1.1,228.3675397,-25.3096721,26.1804,3.985765472443864,-0.44173711074514754,-15.723400841569568,-17.68949684592454,-11.192395251837516
187,1371,HD 13808 b,HD 13808,1,2,K2 V,5035.0,0.78,0.77,33.1780708,-53.7437591,28.2305,0.5790665749197891,-0.9380055486936644,13.973651909436878,9.136465071212601,-22.76451599675256
188,1373,HD 13908 b,HD 13908,1,2,F8 V,6255.0,1.67,1.29,34.5609102,65.5941901,79.5515,0.6032016754760919,1.1448345874240686,27.069568673772384,18.64680037950688,72.44291849223596
189,1383,HD 14067 b,HD 14067,1,1,G9 III,4815.0,12.4,2.4,34.293348,23.7676546,142.024,0.5985318341322124,0.4148238282467759,107.38357510085247,73.23384127493951,57.23974900955233
190,1387,HD 141399 b,HD 141399,1,4,K0 V,5360.0,1.46,1.14,236.7235392,46.986288,37.0169,4.1316051760138635,0.8200654288903014,-13.855220903660708,-21.111454142735994,27.06640432898169
191,1414,HD 143361 b,HD 143361,1,1,G6 V,5505.0,0.99,0.95,240.4588405,-44.4350575,68.5146,4.196798482252888,-0.7755380566880002,-24.121158462009497,-42.56263303759961,-47.967097019907946
192,1434,HD 147379 b,HD 147379,2,1,M0.0 V,4090.0,0.57,0.58,244.1725686,67.2392041,10.7643,4.261615265121721,1.1735454979654705,-1.8143336033145128,-3.748548189758926,9.92606339567398
193,1437,HD 147873 b,HD 147873,2,2,G1 V,5972.0,2.29,1.38,246.4380471,-33.5672217,109.055,4.301155324079864,-0.5858585394118883,-36.32390844765703,-83.29286273810035,-60.29814024477209
194,1440,HD 148164 b,HD 148164,1,2,F8,6032.0,1.34,1.21,246.4351678,11.9190729,77.1971,4.30110507081471,0.20802706589022885,-30.196974828268463,-69.23394729142444,15.943509716470338
195,1446,HD 149026 b,HD 149026,1,1,G0 IV,6147.0,1.45,1.3,247.6229827,38.3475349,75.8643,4.321836351723958,0.6692907440284345,-22.650660407852403,-55.017249815114674,47.06848011524711
196,1455,HD 149143 b,HD 149143,1,1,G0,5856.0,1.44,1.2,248.2126715,2.0844547,73.2801,4.332128362846093,0.03638059762367065,-27.180826390471438,-68.00052537579343,2.6653857801689984
197,1460,HD 150706 b,HD 150706,1,1,G0 V,5961.0,0.96,1.17,247.8255687,79.7894032,28.2697,4.325372144442403,1.3925877940412996,-1.8913945712281848,-4.640639607644037,27.821988223308086
198,1461,HD 152079 b,HD 152079,1,1,G6 V,5726.0,1.15,1.1,253.3732313,-46.3333582,87.8888,4.422197122602152,-0.8086696540959133,-17.36383003308303,-58.14657016623852,-63.57605642004626
199,1467,HD 152843 b,HD 152843,1,2,G0,6310.0,1.43,1.15,253.7848853,20.491524,107.898,4.429381840281158,0.3576445625514385,-28.223413866959138,-97.05005992449124,37.771724640887115
200,1472,HD 15337 b,HD 15337,1,2,K1 V,5125.0,0.86,0.9,36.8678846,-27.6361171,44.8155,0.6434659745153125,-0.482341235861707,31.76288533389038,23.82042034942209,-20.78787458815762
201,1484,HD 154672 b,HD 154672,1,1,G3 IV,5655.0,1.44,1.08,257.520697,-56.4498041,63.0484,4.494584054680684,-0.9852349436507944,-7.529503908754262,-34.02155214989174,-52.54466007845375
202,1488,HD 154857 b,HD 154857,1,2,G5 V,5605.0,1.76,1.72,257.816194,-56.681038,63.4482,4.49974145026045,-0.9892707365480217,-7.355475707956926,-34.06703579123342,-53.01894126393393
203,1491,HD 155233 b,HD 155233,2,1,K1 III,4845.0,5.03,1.5,257.7681391,-20.655164,74.2309,4.498902734033733,-0.36050061933940203,-14.716236138350226,-67.88251332281658,-26.18440936335868
204,1501,HD 156411 b,HD 156411,1,1,F8 IV/V,5900.0,2.16,1.25,259.9639522,-48.5502313,56.8655,4.5372269023871565,-0.8473613887898068,-6.559937343507095,-37.06686777747872,-42.62275947737512
205,1517,HD 158996 b,HD 158996,1,1,K5 III,4069.0,50.3,1.8,259.9051092,80.1364033,283.659,4.536199898295406,1.3986440882910491,-8.517098904461294,-47.839428709990074,279.46605584212443
206,1518,HD 159243 b,HD 159243,1,2,G0 V,6123.0,1.12,1.12,263.3395365,5.7008254,73.3055,4.596141962600784,0.09949817331132275,-8.460314738977788,-72.45064350384806,7.2817347277798286
207,1526,HD 1605 b,HD 1605,1,2,K1 IV,4915.0,3.49,1.33,5.1317548,30.9750611,88.8047,0.0895660176650231,0.5406168022014166,75.83518818125093,6.810476928921474,45.70466474666331
208,1552,HD 163607 b,HD 163607,1,2,G5,5522.0,1.76,1.12,268.4181383,56.3924701,67.7855,4.684780285408495,0.9842342765774559,-1.035728494771734,-37.50504413126998,56.45505239964452
209,1559,HD 164509 b,HD 164509,2,1,G5,5859.0,1.11,1.12,270.3800811,0.1044685,53.1119,4.719022647004292,0.0018233192896196962,0.35232346843644197,-53.110643112447065,0.0968398981210672
210,1566,HD 164922 b,HD 164922,1,4,G9 V,5293.0,1.0,0.87,270.6304652,26.3104077,22.0016,4.723392673943934,0.45920324190706846,0.21701447862789952,-19.7211707680212,9.751857813494407
211,1575,HD 165155 b,HD 165155,1,1,G8 V,5426.0,0.95,1.02,271.4893395,-29.9172536,63.3574,4.738382858339697,-0.5221545784741266,1.4272881494973133,-54.896259547304695,-31.599425169032155
212,1576,HD 1666 b,HD 1666,1,1,F7 V,6317.0,1.93,1.5,5.2180424,-19.9314823,117.908,0.09107202038866696,-0.34786999093797216,110.38605901849121,10.080967735535422,-40.19438428289791
213,1586,HD 168443 b,HD 168443,1,2,G5,5491.0,1.51,0.99,275.0159879,-9.5966905,39.6245,4.799934484479886,-0.16749384651986088,3.4160337931077827,-38.920356826793046,-6.605871467826876
214,1597,HD 1690 b,HD 1690,1,1,K1 III,4393.0,16.7,1.09,5.3055886,-8.2811442,752.615,0.09259998982627642,-0.1445332321224318,741.5768456321824,68.86696015129,-108.39954818514161
215,1599,HD 169830 b,HD 169830,1,2,F8 V,6300.0,1.2,1.4,276.9561859,-29.8167919,37.6048,4.833797327720495,-0.5204011910369758,3.9514257671377564,-32.38650466734844,-18.69816923868797
216,1606,HD 170469 b,HD 170469,2,1,G5 IV,5810.0,1.22,1.14,277.2955423,11.6954244,60.178,4.83972021423821,0.2041236631980823,7.483197568815451,-58.45157752804851,12.198627899424132
217,1613,HD 171238 b,HD 171238,1,1,G8 V,5440.0,1.01,0.96,278.6818389,-28.0727849,44.8113,4.863915654317412,-0.4899625267091471,5.968353919769359,-39.086223098409675,-21.087876210745353
218,1614,HD 17156 b,HD 17156,1,1,G5,5969.0,1.47,1.23,42.4366123,71.7530882,78.0863,0.7406586080273236,1.2523276375638914,18.044551000061244,16.498096368886774,74.15980881244984
219,1621,HD 173416 b,HD 173416,1,1,G8,4683.0,13.5,2.0,280.9005676,36.556857,132.184,4.902639775340906,0.6380375188307367,20.07898639529007,-104.26313538157802,78.73145979683399
220,1625,HD 175541 b,HD 175541,1,1,G8 IV,5060.0,3.8,1.65,283.9203211,4.2649344,129.603,4.955344416514529,0.07443714766156884,31.09255376893952,-125.44836592374669,9.63837103391206
221,1629,HD 175607 b,HD 175607,1,1,G6 V,5392.0,0.7,0.71,285.2742901,-66.1943379,40.3303,4.978975633534463,-1.155309142532669,4.288477073985356,-15.70371440159881,-36.89898936920794
222,1630,HD 17674 b,HD 17674,1,1,G0 V,5904.0,1.18,0.98,42.7684964,30.2865981,44.4264,0.7464510783073417,0.5286008560732588,28.162258031358956,26.049788612138954,22.405373301912057
223,1631,HD 176986 b,HD 176986,1,2,K2.5 V,4931.0,0.78,0.79,285.7739138,-11.044941,27.7843,4.98769571212046,-0.19277058613851503,7.413041776964309,-26.242732869213203,-5.32288546355253
224,1645,HD 179079 b,HD 179079,1,1,G5 IV,5684.0,1.6,1.15,287.7903733,-2.6387703,69.7116,5.022889569628578,-0.046055229938838524,21.276771570145208,-66.30765871195794,-3.2094489013488507
225,1658,HD 180617 b,HD 180617,2,1,M2.5 V,3557.0,0.45,0.45,289.2277322,5.1631615,5.91059,5.047976214966423,0.09011416798720921,1.9385994081931486,-5.558235429153257,0.5319073197077581
226,1662,HD 181234 b,HD 181234,1,1,G5,5386.0,1.05,1.01,289.9998695,-9.32497,47.7458,5.061452553128881,-0.16275142914969565,16.114126407910334,-44.27351219738297,-7.736437517234198
227,1667,HD 181342 b,HD 181342,1,1,K0 III,5040.0,5.12,1.89,290.2674078,-23.6196996,120.391,5.06612197733907,-0.41224152635198763,38.20996766042573,-103.47582286113257,-48.236348696815085
228,1679,HD 181720 b,HD 181720,1,1,G1 V,5781.0,1.39,0.92,290.7212224,-32.9208401,60.2046,5.074042536302691,-0.5745770522675793,17.88109587303954,-47.26799012974,-32.719984422887045
229,1691,HD 183579 b,HD 183579,1,1,G2 V,5706.0,0.97,1.03,293.2866147,-54.5327284,57.2651,5.1188170785430005,-0.9517756606758194,13.135809726719927,-30.520633731989193,-46.63939426526864
230,1695,HD 185269 b,HD 185269,3,1,G0 IV,5980.0,1.88,1.28,294.2987668,28.499514,51.9917,5.136482465218976,0.49741035451821924,18.801773367824566,-41.64370192696615,24.807907548460406
231,1732,HD 190360 b,HD 190360,2,2,G6 IV,5590.0,1.13,0.96,300.9092476,29.894541,16.0069,5.251857120318845,0.5217581688224382,7.12837982649226,-11.906293335113483,7.9779212629287395
232,1746,HD 190984 b,HD 190984,1,1,F8 V,5988.0,1.53,0.91,302.8779827,-64.6202728,148.187,5.286218029913425,-1.127836523896935,34.47936149057419,-53.34191272476591,-133.88502883842455
233,1749,HD 191939 b,HD 191939,1,3,G8 V,5427.0,0.94,0.92,302.0256247,66.8503014,53.6089,5.2713415764077105,1.166757865380575,11.176319350967969,-17.86806267715306,49.29235621412826
234,1764,HD 192699 b,HD 192699,1,1,G8 IV,5220.0,3.9,1.68,304.0248392,4.5805708,71.8627,5.306234451886323,0.07994604208071068,40.0825031510252,-59.36921960095708,5.739020509755106
235,1779,HD 196067 b,HD 196067,2,1,G1 V,6017.0,1.73,1.29,310.4364195,-75.3514992,39.9346,5.418137638377329,-1.3151317573538732,6.550249079943366,-7.686612093410533,-38.636543694747544
236,1794,HD 202206 c,HD 202206,2,1,G6 V,5766.0,1.04,1.07,318.7405221,-20.7897284,45.9665,5.563071570170751,-0.3628492111753727,32.30456812230577,-28.339800983471676,-16.315320435055018
237,1796,HD 202696 b,HD 202696,1,2,K0 III-IV,5040.0,6.43,1.91,319.2250346,27.2582799,188.546,5.57152790856282,0.4757467326851907,126.92638022654616,-109.46316933856585,86.35451740900815
238,1802,HD 203473 b,HD 203473,1,1,G5,5780.0,1.33,1.12,320.5794196,5.0235858,72.6402,5.595166386152443,0.08767811246643335,55.89940392489701,-45.94992424585402,6.3607985883445215
239,1828,HD 207832 b,HD 207832,3,2,G5 V,5726.0,0.89,1.05,328.1517893,-26.0271749,58.9291,5.7273291695956985,-0.45425989699742586,44.980758687144174,-27.941677914562014,-25.85793514683221
240,1841,HD 208527 b,HD 208527,1,1,M1 III,4035.0,51.1,1.6,329.0999413,21.239922,312.202,5.743877543805068,0.370706571766779,249.6921175827335,-149.43799701346265,113.10269788848862
241,1843,HD 20868 b,HD 20868,1,1,K3/4 IV,4795.0,0.79,0.78,50.1794053,-33.72969,47.7223,0.875795839177693,-0.5886941461770061,25.416296940234698,30.48330020124774,-26.499022170193854
242,1844,HD 208897 b,HD 208897,1,1,K0,4860.0,4.98,1.25,329.7490639,19.0201591,67.4872,5.755206870424174,0.3319644005481614,55.114483667349845,-32.14302361077507,21.994133014933382
243,1857,HD 209458 b,HD 209458,1,1,G0 V,6071.0,1.2,1.26,330.7950219,18.8842419,48.3016,5.773462281361748,0.32959219789806976,39.892118654528495,-22.299500352373794,15.633160775975568
244,1872,HD 211403 b,HD 211403,1,1,F7 V,6273.0,1.21,1.2,333.8158177,58.2755601,83.0919,5.826185114102165,1.017100397188836,39.208865734199634,-19.27971031901829,70.67688068571111
245,1873,HD 211810 b,HD 211810,1,1,G5,5652.0,1.13,1.03,334.5286724,61.1349912,64.6353,5.838626775705481,1.0670068846177592,28.16967066800572,-13.418943793508808,56.604978650404504
246,1883,HD 213885 b,HD 213885,1,2,G,5978.0,1.1,1.07,338.9837166,-59.864829,48.0883,5.916381965317358,-1.0448383721933845,22.536349443042262,-8.658243399340783,-41.5888491294104
247,1888,HD 214823 b,HD 214823,2,1,G0,5933.0,2.04,1.31,340.0832062,31.7875183,101.368,5.935571678928794,0.5547968553729506,81.00996986764163,-29.35205865502395,53.39768589326532
248,1889,HD 215152 b,HD 215152,1,4,K3 V,4935.0,0.73,0.77,340.8380941,-6.4020685,21.5974,5.948746958267258,-0.1117371742632146,20.27357054415895,-7.044893869735501,-2.408213967896908
249,1904,HD 216536 b,HD 216536,1,1,K0,4639.0,12.5,1.36,343.2665641,44.4777303,376.233,5.991131755553165,0.7762828375490453,257.08318503709864,-77.29220916293131,263.6008737900817
250,1924,HD 217786 b,HD 217786,2,1,F8 V,5966.0,1.27,1.02,345.7838088,-0.4303594,55.4847,6.0350659636465425,-0.007511188496907285,53.78401875540758,-13.625622124404584,-0.41675212165164804
251,1925,HD 217850 b,HD 217850,1,1,G8 V,5544.0,1.21,1.03,345.6526588,58.8754484,65.7969,6.032776964332552,1.0275704231680276,32.94968999129778,-8.427770655791896,56.3251512280326
252,1929,HD 219077 b,HD 219077,1,1,G8 V,5362.0,1.91,1.05,348.5319387,-62.7018297,29.1864,6.083029878674045,-1.0943533752897683,13.118268784921481,-2.6613275343614347,-25.935965468850476
253,1932,HD 219134 b,HD 219134,1,6,K3 V,4699.0,0.78,0.78,348.3372026,57.1696255,6.53127,6.079631092556553,0.9977981971071095,3.467846979636193,-0.7158086331035237,5.488091028718693
254,1951,HD 219415 b,HD 219415,1,1,K0 III,4820.0,2.9,1.0,348.7243579,56.7303001,165.184,6.086388227258098,0.9901305223894684,88.86766392447605,-17.71822646456897,138.10994394161713
255,1955,HD 219828 b,HD 219828,1,2,G0 IV,5891.0,1.69,1.23,349.6947029,18.6457524,73.114,6.1033239423883625,0.3254297708916347,68.15896183772007,-12.393092308217652,23.375717748215052
256,1960,HD 220074 b,HD 220074,1,1,M2 III,3935.0,49.7,1.2,350.0599827,61.9701062,324.54,6.109699277589389,1.0815823910005515,150.22243358128006,-26.326141183882015,286.4722784830746
257,1964,HD 220689 b,HD 220689,1,1,G3 V,5921.0,1.07,1.04,351.4707282,-20.6167923,46.8778,6.134321431472083,-0.35983090683481456,43.390321657112494,-6.50739153134176,-16.50642222863986
258,1971,HD 221420 b,HD 221420,1,1,G2 IV-V,5847.0,1.95,1.35,353.3319001,-77.3853286,31.1415,6.166805009072681,-1.3506287768077339,6.755083420203153,-0.7897272997072917,-30.389771322407043
259,1973,HD 222076 b,HD 222076,1,1,K0 III,4806.0,4.1,1.07,354.531982,-70.9032461,91.1538,6.1877503895212715,-1.2374950947968286,29.686569880510874,-2.841768035706557,-86.1373738722094
260,1974,HD 222155 b,HD 222155,1,1,G2 V,5765.0,1.67,1.13,354.5025617,48.9960191,50.6078,6.187236908419346,0.8551418536650288,33.05163375263338,-3.1810189189996865,38.191884553642446
261,1980,HD 224538 b,HD 224538,1,1,F9 IV/V,6097.0,1.54,1.34,359.7164302,-61.5868613,79.0608,6.278236080510364,-1.0748935056540754,37.618716520249784,-0.18618507525790798,-69.53709513005873
262,1981,HD 224693 b,HD 224693,1,1,G2 IV,6037.0,1.7,1.33,359.9749837,-22.4279999,93.5015,6.28274869037792,-0.39144244289195895,86.42901004274293,-0.0377363603340146,-35.67289308772907
263,1992,HD 231701 b,HD 231701,1,1,F8 V,6101.0,1.53,1.21,293.017622,16.4743566,108.877,5.114122270264172,0.28753176481765846,40.82471795559991,-96.09482477533598,30.876013088531888
264,1994,HD 233604 b,HD 233604,1,1,K5,4791.0,10.9,1.5,137.4535054,53.5682016,847.058,2.3990162376378055,0.9349414922920946,-370.6029995397729,340.1487506479167,681.5126554428645
265,2004,HD 238090 b,HD 238090,1,1,M0.0 V,3933.0,0.57,0.58,183.0886375,54.486153,15.2354,3.1954995473653596,0.9509627665953859,-8.837383071370361,-0.47685786887561266,12.401237042438467
266,2008,HD 240237 b,HD 240237,1,1,K2 III,4361.0,32.0,1.69,348.9259334,58.0432233,933.377,6.089906383424453,1.0130453550552885,484.8184305699784,-94.88972805181882,791.9214942271202
267,2016,HD 24064 b,HD 24064,1,1,K0,4052.5,38.0,1.0,59.1510071,74.0800789,300.247,1.0323798297655429,1.2929412869421792,42.230187436474296,70.70426815569284,288.7313262232696
268,2018,HD 25015 b,HD 25015,1,1,K1 V,5160.0,0.83,0.86,59.4335463,-20.2673347,37.433,1.0373110690714935,-0.35373172111869716,17.85749051150242,30.2357567264855,-12.966824468943344
269,2020,HD 25171 b,HD 25171,2,1,F8 V,6160.0,1.18,1.09,58.9574779,-65.1863239,55.6146,1.0290021080267922,-1.137715979326471,12.035683332155331,19.997109177993053,-50.48011177098863
270,2026,HD 26965 b,HD 26965,3,1,K0 V,5072.0,0.87,0.78,63.8082666,-7.6676027,5.03545,1.1136643421603276,-0.13382491284980702,2.2026566858386745,4.478020280238021,-0.6718590600767286
