id,planet_name,starname,number_stars,number_planets,spectral_type,star_temp,star_radius,star_mass,right_ascencion,declination,distance,alpha,delta,X,Y,Z
2441,HD 81688 b,HD 81688,1,1,,,,1.1,142.1665753,45.6009241,85.7183,2.481274825,0.795886267,-47.36648685,36.78549137,61.24435078
2443,HD 81817 b,HD 81817,1,1,K3 III,4140,83.8,4.3,144.2715659,81.3263096,269.126,2.518013842,1.419411871,-32.94751114,23.69999084,266.0480705
2444,HD 82886 b,HD 82886,1,1,,4953,5.26,2.53,143.9383526,34.7805902,127.061,2.512198173,0.607035815,-84.36344904,61.43242763,72.48008707
2446,HD 82943 b,HD 82943,1,2,,6011,1.03,1.04,143.7114034,-12.1302976,27.5902,2.508237162,-0.211713632,-21.7424268,15.96473893,-5.797682635
2456,HD 8326 b,HD 8326,1,1,K2 V,4914,,0.8,20.5314418,-26.8940678,30.6862,0.35834126,-0.469390032,25.6289392,9.598301254,-13.88066854
2457,HD 83443 b,HD 83443,1,1,,5442,0.94,0.79,144.2994103,-43.272721,40.8991,2.518499818,-0.755251458,-24.18253325,17.37729035,-28.03517873
2463,HD 8535 b,HD 8535,2,1,G0 V,6136,1.19,1.13,20.9054804,-41.2701007,55.4401,0.364869465,-0.72029914,38.9261754,14.86872737,-36.56881872
2464,HD 85390 b,HD 85390,1,1,,5186,,0.76,147.5105663,-49.7905254,33.5225,2.574545063,-0.869008605,-18.25447517,11.62465109,-25.600774
2467,HD 85512 b,HD 85512,1,1,,4300,0.71,0.43,147.7821226,-43.5048162,11.281,2.579284615,-0.759302283,-6.922441753,4.362311309,-7.766015788
2469,HD 8574 b,HD 8574,1,1,F8,6050,,1.12,21.3033807,28.5660169,44.8264,0.371814135,0.498571049,36.67940767,14.30319676,21.43468573
2473,HD 86081 b,HD 86081,2,1,F8,5939,1.46,1.21,149.0243714,-3.8083543,103.936,2.600965947,-0.066468322,-88.91652201,53.37497309,-6.903365633
2476,HD 86226 b,HD 86226,1,2,G2 V,5903,1.02,1.06,149.1235154,-24.0991859,45.683,2.602696336,-0.420610141,-35.79118153,21.40063412,-18.6531679
2481,HD 86264 b,HD 86264,1,1,,6210,1.88,1.42,149.2409308,-15.8953993,67.8107,2.604745621,-0.277427054,-56.04335349,33.35430355,-18.57212963
2482,HD 8673 b,HD 8673,2,1,,6389.05,1.5,1.28,21.5378455,34.5793389,37.8619,0.375906318,0.603523317,28.99659373,11.44419276,21.48840328
2483,HD 86950 b,HD 86950,1,1,K1 III,4805,8.8,1.66,150.4066612,-17.3330699,209.839,2.625091455,-0.302519139,-174.1800325,98.92124661,-62.51647126
2484,HD 87646 b,HD 87646,3,1,G,5770,1.55,1.12,151.6695435,17.8949795,73.58352,2.647132909,0.312326312,-61.63658036,33.23015417,22.61024615
2485,HD 87883 b,HD 87883,1,1,,4989.41,0.8,0.83,152.1794175,34.2419984,18.2912,2.656031889,0.597635615,-13.37299881,7.056923025,10.29226592
2488,HD 88133 b,HD 88133,1,1,G5 IV,5494,1.93,1.2,152.5319349,18.1857284,73.6123,2.662184478,0.317400837,-62.05140443,32.25797146,22.97427249
2494,HD 89307 b,HD 89307,1,1,,5906,1.01,1.05,154.5874958,12.6209392,32.0104,2.698060784,0.220276944,-28.21449824,13.40477538,6.994268667
2499,HD 89345 b,HD 89345,1,1,,5576,1.75,1.16,154.6710977,10.1288464,132.345,2.699519913,0.176781719,-117.7579182,55.73660505,23.27450488
2502,HD 89744 b,HD 89744,2,1,F7 V,6291,,1.56,155.5433193,41.2289354,38.6364,2.714743051,0.71958067,-26.4505277,12.03005658,25.46406739
2505,HD 90156 b,HD 90156,1,1,,5599,,0.84,155.9801144,-29.645103,21.9496,2.722366564,-0.517404654,-17.42457908,7.765169885,-10.85684672
2507,HD 9174 b,HD 9174,1,1,G8 IV,5577,1.67,1.03,22.5043352,-19.6052945,81.4893,0.392774745,-0.34217694,70.91945964,29.38208889,-27.34280731
2508,HD 92788 b,HD 92788,1,2,,5702.25,1.16,1.08,160.7021351,-2.1847173,34.6538,2.804781372,-0.03813051,-32.68294235,11.44403638,-1.321046897
2516,HD 92987 b,HD 92987,1,1,,5774,,1.05,160.9012407,-39.0583857,43.5339,2.808256421,-0.681697431,-31.94353736,11.06066692,-27.43123252
2518,HD 93083 b,HD 93083,1,1,K3 V,4995,,0.7,161.0866672,-33.5776794,28.5159,2.811492724,-0.586041061,-22.47496832,7.700745052,-15.77120406
2519,HD 9446 b,HD 9446,1,2,G5 V,5793,1,1,23.3350424,29.2649187,50.3503,0.407273321,0.510769187,40.33123128,17.39862189,24.61366389
2521,HD 94834 b,HD 94834,1,1,,4798,4.2,1.11,164.3126363,24.1429374,98.1609,2.867796506,0.421373749,-86.23803497,24.21989758,40.14922384
2522,HD 95086 b,HD 95086,1,1,A8 III,,,1.6,164.2621032,-68.6672917,86.2279,2.866914537,-1.198470329,-30.19233241,8.508233662,-80.31988398
2526,HD 95089 b,HD 95089,1,2,,4918,5.08,1.54,164.698748,1.7290087,136.957,2.874535427,0.030176895,-132.0419561,36.12569286,4.132309711
2530,HD 95127 b,HD 95127,1,1,K0,4218,20,1.2,164.8961152,43.8144094,676.579,2.877980134,0.764705704,-471.344795,127.2128719,468.4123319
2532,HD 95338 b,HD 95338,1,1,K0.5 V,5212,0.87,0.83,164.8563364,-56.6235564,36.9941,2.877285863,-0.988267493,-19.64509857,5.316718657,-30.89281534
2534,HD 95544 b,HD 95544,1,1,G3 V,5722,1.09,1.09,166.3231784,81.0389868,87.8049,2.902887085,1.414397142,-13.28889347,3.233788252,86.73320234
2536,HD 95872 b,HD 95872,1,1,,5312,0.84,0.7,165.8658796,-22.0943303,72.2195,2.894905716,-0.38561881,-64.89035545,16.34041801,-27.16410662
2538,HD 96063 b,HD 96063,1,1,,5148,4.5,1.02,166.1853484,-2.5132966,140.065,2.900481498,-0.043865301,-135.8825398,33.41279933,-6.142023197
2540,HD 96127 b,HD 96127,1,1,,3943,51.1,10.94,166.441502,44.30155,587.659,2.904952222,0.773207911,-408.8512764,98.59810532,410.4414059
2542,HD 96167 b,HD 96167,2,1,G5,5733,1.94,1.27,166.3125657,-10.291345,85.3006,2.902701859,-0.179617855,-81.54481083,19.85953656,-15.23925834
2546,HD 96992 b,HD 96992,1,1,,4725,7.43,0.96,167.5966158,43.9189897,396.082,2.925112761,0.766530974,-278.647119,61.2817967,274.7385579
2547,HD 97048 b,HD 97048,1,1,Be9.5/AO,10000,2.25,2.4,167.0133422,-77.654853,183.857,2.914932716,-1.355332865,-38.30324235,8.833605873,-179.6057501
2548,HD 97658 b,HD 97658,1,1,K1 V,5212,0.73,0.85,168.6376584,25.7105962,21.5618,2.943282382,0.448734556,-19.04635852,3.827393831,9.354063433
2557,HD 98219 b,HD 98219,1,1,,4992,4.5,1.3,169.4475218,-23.975488,113.704,2.957417165,-0.418451205,-102.1364576,19.02665195,-46.20314026
2560,HD 98649 b,HD 98649,1,1,G4 V,5759,1,1,170.2147665,-23.2181063,42.1727,2.970808111,-0.405232401,-38.19331723,6.586994841,-16.62584263
2562,HD 98736 b,HD 98736,2,1,,5271,0.93,0.92,170.4549045,18.1896082,32.4459,2.97499931,0.317468553,-30.39778211,5.111442427,10.12839702
2563,HD 99109 b,HD 99109,1,1,,5323.91,0.99,0.97,171.0715576,-1.529761,54.7901,2.985761937,-0.026699366,-54.10691432,8.500436869,-1.46268715
2566,HD 99492 b,HD 99492,2,1,K2 V,4954,,0.78,171.689687,3.0071331,18.2038,2.99655033,0.052484374,-17.98785305,2.627450699,0.954976469
2572,HD 99706 b,HD 99706,1,2,,4932,5.4,1.72,172.1261621,43.9662025,146.6,3.004168257,0.767354993,-104.5204823,14.45477398,101.7746937
2576,HIP 105854 b,HIP 105854,1,1,K2 III,4780,,2.1,321.5962275,-37.8294782,78.6381,5.612913032,-0.660248949,48.67382272,-38.58361485,-48.2298084
2577,HIP 107772 b,HIP 107772,1,1,M0 V,,,0.63,327.4977057,-41.2440371,23.6434,5.715913257,-0.719844244,14.99315366,-9.552536372,-15.58732677
2578,HIP 107773 b,HIP 107773,1,1,K1 III,4945,11.6,2.42,327.5005089,-64.7126993,105.18,5.715962182,-1.129449671,37.8924616,-24.13968724,-95.10136305
2579,HIP 109384 b,HIP 109384,1,1,G5,5180,,0.78,332.408972,71.313956,58.9582,5.801631025,1.244663335,16.74101264,-8.748652219,55.85041564
2580,HIP 109600 b,HIP 109600,2,1,G5,5530,,0.87,333.027079,29.0662082,66.3361,5.812419027,0.507301034,51.67447116,-26.29870286,32.22740172
2581,HIP 114933 b,HIP 114933,1,1,K0 III,4823,5.27,1.39,349.2071949,-21.2033101,101.766,6.094815323,-0.370067574,93.1984416,-17.76642461,-36.80656729
2582,HIP 116454 b,HIP 116454,2,1,K1,5089,0.72,0.78,353.9543517,0.4447043,62.4491,6.177668839,0.007761554,62.09990632,-6.576989729,0.48469721
2584,HIP 12961 b,HIP 12961,1,1,,3901,0.65,0.69,41.6800749,-23.0860048,23.371,0.727454539,-0.402926795,16.05723613,14.29646185,-9.164059535
2586,HIP 14810 b,HIP 14810,1,3,G5 V,5485,1,0.99,47.809275,21.0971302,50.48,0.834429262,0.368214385,31.62997639,34.89435369,18.17027996
2596,HIP 35173 b,HIP 35173,1,1,K2 V,4881,,0.79,109.0449329,-3.6661273,33.1562,1.903193112,-0.063985992,-10.79704445,31.27719088,-2.120084985
2597,HIP 38594 b,HIP 38594,1,2,M0,,,0.61,118.5439118,-25.3023073,17.7886,2.068981569,-0.441608571,-7.684523731,14.12730132,-7.602745719
2599,HIP 41378 b,HIP 41378,1,5,,6226,1.34,1.17,126.6158279,10.0803708,106.289,2.209863082,0.17593566,-62.41708895,83.99619489,18.60370317
2611,HIP 4845 b,HIP 4845,1,1,,,,0.62,15.5881733,-10.4246208,21.0974,0.272064948,-0.181943956,19.98596773,5.575735715,-3.817401173
2612,HIP 48714 b,HIP 48714,1,1,M0.5 Ve,,,0.58,149.0332672,62.7859505,10.5298,2.601121208,1.09582156,-4.129082256,2.477741066,9.364196013
2613,HIP 5158 b,HIP 5158,1,2,,4813,0.75,0.43,16.5094891,-22.4536134,51.6026,0.288144943,-0.391889483,45.72440417,13.55242311,-19.70885633
2617,HIP 54373 b,HIP 54373,1,2,K5 V,4021,,0.57,166.8643532,-19.2916857,18.7168,2.912332368,-0.336703434,-17.20360056,4.014687793,-6.183608328
2619,HIP 56640 b,HIP 56640,1,1,K1 III,4769,4.93,1.04,174.2008941,-37.0391349,122.324,3.040379162,-0.646454856,-97.14228113,9.865821542,-73.68313076
2620,HIP 57274 b,HIP 57274,1,3,,4510,0.78,0.29,176.1705487,30.9576484,25.8618,3.07475612,0.540312893,-22.12821203,1.481179183,13.3034221
2625,HIP 63242 b,HIP 63242,1,1,G8,4830,,1.54,194.3824825,-65.6463263,156.456,3.392614328,-1.145744536,-62.49541081,-16.02572897,-142.5341348
2626,HIP 65 A b,HIP 65 A,2,1,K4 V,4590,0.72,0.78,0.1856063,-54.8308228,61.7856,0.003239441,-0.956978389,35.58786425,0.115285192,-50.50694006
2628,HIP 65407 b,HIP 65407,1,2,K0,5460,,0.93,201.087663,48.8847322,61.7804,3.509641804,0.853199531,-37.90467474,-14.61682058,46.54462389
2630,HIP 65426 b,HIP 65426,1,1,A2 V,8840,1.77,1.96,201.1501727,-51.5045384,108.875,3.510732805,-0.898923775,-63.20443609,-24.45217123,-85.21183137
2631,HIP 65891 b,HIP 65891,1,1,K0 III,5000,8.93,2.5,202.6050857,-58.6643937,150.292,3.536125827,-1.023886824,-72.1548501,-30.04267986,-128.3697794
2632,HIP 67522 b,HIP 67522,1,1,,5675,1.38,1.22,207.526001,-40.8358961,127.28,3.622012001,-0.71272084,-85.39736541,-44.5043217,-83.22772213
2633,HIP 67537 b,HIP 67537,1,1,K1 III,4985,8.69,2.41,207.5808445,-39.9008996,116.046,3.622969201,-0.696402073,-78.90830531,-41.2186797,-74.43906174
2634,HIP 67851 b,HIP 67851,1,2,K0 III,4805,5.87,1.3,208.465364,-35.3146536,64.1181,3.638406978,-0.61635698,-45.99454307,-24.93701014,-37.06451511
2640,HIP 70849 b,HIP 70849,2,1,K7 V,4105,,0.63,217.3270762,-46.464684,24.0572,3.793073033,-0.810961722,-13.17675522,-10.04784166,-17.44026581
2641,HIP 71135 b,HIP 71135,1,1,M1,4146,,0.66,218.2158073,-52.6464757,32.3311,3.808584317,-0.918854341,-15.41224827,-12.13513011,-25.70021882
2642,HIP 74890 b,HIP 74890,1,1,K1 III,4850,5.77,1.74,229.5714974,-41.4210961,78.6562,4.006778498,-0.722934507,-38.24957288,-44.89782469,-52.03799873
2643,HIP 75092 b,HIP 75092,1,1,K0 III,4891,4.53,1.28,230.1724206,-25.9910525,81.6696,4.017266587,-0.453629442,-47.01742929,-56.37686853,-35.79013274
2644,HIP 78530 b,HIP 78530,1,1,B9 V,10500,,2.5,240.4810052,-21.980492,136.759,4.197185329,-0.383631957,-62.48484487,-110.3562097,-51.18764717
2647,HIP 79098 AB b,HIP 79098 AB,2,1,,,,3.75,242.1821202,-23.6855244,145.798,4.226875387,-0.413390386,-62.30720087,-118.0867855,-58.56945126
2648,HIP 79431 b,HIP 79431,1,1,,3420,0.48,0.48,243.1742467,-18.8764247,14.5324,4.244191261,-0.329455762,-6.205455076,-12.27100483,-4.70163988
2649,HIP 8541 b,HIP 8541,2,1,K2 III/IV,4670,7.83,1.17,27.5271962,-54.4651633,155.121,0.480440208,-0.950596427,79.94957137,41.66735744,-126.2316205
2650,HIP 90988 b,HIP 90988,1,1,K1 III,4883,3.94,1.3,278.3892816,-50.211692,94.0349,4.858809566,-0.876359348,8.77983405,-59.53398258,-72.25774596
2651,HIP 91258 b,HIP 91258,1,1,G5 V,5519,1,0.95,279.2211173,61.7015065,45.8846,4.873327838,1.076894442,3.485695046,-21.47118668,40.40092313
2653,HIP 97233 b,HIP 97233,1,1,K0,5020,5.34,1.93,296.4221207,-0.6968794,102.275,5.173541982,-0.01216284,45.5070616,-91.5845818,-1.243923793
2654,HN Peg b,HN Peg,1,1,G0 V,,,,326.1315705,14.7714524,18.1186,5.6920697,0.25781048,14.54702306,-9.763563196,4.619590855
2655,HR 2562 b,HR 2562,1,1,F5 V,,,1.3,102.5042716,-60.2486775,34.0071,1.789037037,-1.051537792,-3.653769236,16.47527511,-29.52453439
2656,HR 5183 b,HR 5183,2,1,,5794,1.53,1.07,206.7357992,6.3498994,31.4607,3.608220378,0.110826652,-27.92487509,-14.06661727,3.479550863
2658,HR 810 b,HR 810,1,1,,6167,1.13,1.34,40.6417178,-50.7993484,17.3181,0.709331789,-0.886615887,8.30556673,7.129228169,-13.42044167
2661,HR 858 b,HR 858,2,3,,6201,1.31,1.15,42.9849779,-30.8140609,31.964,0.750229393,-0.537806819,20.08186648,18.71680218,-16.37367554
2666,HR 8799 b,HR 8799,1,4,,7204.58,1.49,1.61,346.8701486,21.1340376,41.2441,6.05402617,0.36885854,37.46430907,-8.738796428,14.87060078
2682,HU Aqr AB b,HU Aqr,2,2,,,,0.88,316.9921976,-5.2948694,,5.532557551,-0.092412904,,,
2684,HW Vir b,HW Vir,3,1,,,,0.48,191.0843668,-8.6714143,171.701,3.33505135,-0.15134473,-166.5718836,-32.63290813,-25.8869524
2685,IC 4651 9122 b,IC 4651 9122,1,1,,,,2.1,261.2086139,-49.9489317,859.324,4.558950347,-0.871773316,-84.51126274,-546.4529353,-657.7877871
2686,K2-10 b,K2-10,1,1,,5638,0.9,,172.1216476,1.6906217,272.36,3.004089465,0.029506915,-269.6718431,37.3162162,8.035337265
2696,K2-100 b,K2-100,1,1,,6115.49,1.22,1.15,129.6010863,20.1060074,188.959,2.26196567,0.350916029,-113.1093366,136.720423,64.95619734
2707,K2-101 b,K2-101,1,1,,4695.41,0.8,0.75,130.3439097,18.9338205,188.33,2.274930384,0.330457508,-115.3233572,135.7735603,61.10853045
2716,K2-102 b,K2-102,1,1,,4695,0.71,,130.0558953,19.7787519,188.175,2.269903585,0.345204343,-113.9531632,135.5353472,63.6763448
2719,K2-104 b,K2-104,1,1,,3578,0.5,0.5,129.6366594,19.7737202,189.289,2.262586538,0.345116523,-113.6307072,137.1771303,64.03766723
2729,K2-105 b,K2-105,1,1,,5434,0.95,1.01,125.4202985,13.4975122,197.989,2.188997158,0.235576029,-111.5791218,156.8893356,46.21125489
2738,K2-107 b,K2-107,1,1,,6061,1.81,1.3,284.985355,-22.2934206,685.2,4.973932765,-0.389093591,163.9304854,-612.4230072,-259.9305605
2744,K2-108 b,K2-108,1,1,,5599,1.76,1.17,123.3818484,16.419516,477.295,2.153419492,0.286574616,-251.9054051,382.2980837,134.9161188
2752,K2-11 b,K2-11,1,1,,5433,5.15,,169.0418328,1.9866832,329.309,2.950336556,0.034674163,-323.1101226,62.56145749,11.41622602
2758,K2-110 b,K2-110,1,1,,4950,0.71,0.75,207.3497402,-12.2849182,116.474,3.61893567,-0.214412271,-101.0854501,-52.28527443,-24.782545
2766,K2-111 b,K2-111,1,2,,,1.27,,59.8903081,21.2985263,200.394,1.045283066,0.37172941,93.66298993,161.5141616,72.78856482
2773,K2-113 b,K2-113,1,1,,,1.29,,19.4493823,6.8688469,635.722,0.339455759,0.119883994,595.1426668,210.1595481,76.03046625
2777,K2-114 b,K2-114,1,1,,5044,0.84,0.89,127.882912,11.922255,475.758,2.231977871,0.208082604,-285.8373348,367.400227,98.28410735
2784,K2-115 b,K2-115,1,1,,5560,0.88,0.83,126.5535002,12.281851,413.591,2.208775258,0.214358738,-240.6860784,324.63417,87.9794443
2790,K2-116 b,K2-116,1,1,,4342,0.76,0.68,336.1523363,-11.5793181,49.3855,5.866965057,-0.202097226,44.24985317,-19.56049849,-9.912870583
2795,K2-117 b,K2-117,1,2,M1.0 V,3676,0.51,0.53,133.8557342,10.4692176,101.632,2.336223284,0.182722317,-69.24299128,72.06546682,18.46727035
2809,K2-118 b,K2-118,1,1,,4726.29,0.73,0.76,132.1268608,15.6558964,321.722,2.306048751,0.27324694,-207.7965392,229.7563625,86.81968368
2812,K2-119 b,K2-119,1,1,,,0.71,,132.0098683,16.9017663,365.581,2.304006847,0.294991471,-234.0996886,259.904008,106.2859819
2819,K2-12 b,K2-12,1,1,,5615,0.92,,173.1919022,2.2446794,326.381,3.022768931,0.039177046,-323.8309369,38.66092103,12.78337285
2827,K2-120 b,K2-120,1,1,,4432.16,,,132.142853,17.1905813,,2.306327868,0.300032244,,,
2831,K2-121 b,K2-121,1,1,,4471.38,0.77,0.71,126.9366624,17.5793267,169.398,2.2154627,0.306817131,-97.04271249,129.0766581,51.16259078
2841,K2-122 b,K2-122,2,1,,,0.53,,126.4762179,20.3593384,72.0444,2.207426428,0.355337489,-40.15400562,54.31215715,25.06473597
2850,K2-123 b,K2-123,1,1,,4040,0.6,,134.4441404,21.4532748,161.555,2.34649291,0.374430281,-105.2854038,107.3483519,59.08750397
2859,K2-124 b,K2-124,1,1,,,0.3,,133.6410515,23.1329509,140.385,2.332476365,0.403746159,-89.09508071,93.4249251,55.15249939
2867,K2-125 b,K2-125,1,1,,3565,0.4,0.39,204.1418754,-14.9478195,124.156,3.562947867,-0.260888666,-109.4629241,-49.06117435,-32.02470533
2869,K2-126 b,K2-126,1,1,,4339,0.65,0.69,203.5467021,-13.5769705,102.953,3.552560133,-0.236962838,-91.74316785,-39.98001471,-24.16836331
2878,K2-127 b,K2-127,1,1,,4387.84,0.68,0.7,207.0782895,-11.5889878,709.999,3.614197961,-0.202265994,-619.2851624,-316.6081776,-142.6314463
2884,K2-128 b,K2-128,1,1,,4621,0.65,,204.4376666,-8.5970858,114.637,3.568110397,-0.150047453,-103.1942196,-46.89279864,-17.13651799
2889,K2-129 b,K2-129,1,1,,3377,0.36,0.34,289.1485491,-25.6463233,27.7957,5.046594209,-0.447612783,8.219273118,-23.67095774,-12.0303885
2892,K2-13 b,K2-13,1,1,,5698,0.78,0.8,170.1554763,2.5027534,342.394,2.969773302,0.043681287,-337.0305704,58.4850397,14.95145489
2897,K2-130 b,K2-130,1,1,,4528,0.64,,290.2705419,-19.6908744,118.011,5.066176678,-0.343670591,38.49451163,-104.2288466,-39.76325233
2902,K2-131 b,K2-131,1,1,,5113,0.77,0.8,182.751404,-9.7652392,152.509,3.189613712,-0.170435576,-150.1260308,-7.214757612,-25.86730013
2908,K2-132 b,K2-132,1,1,,5035,2.16,0.98,182.1662666,-8.7472172,609.818,3.179401138,-0.152667741,-602.2944036,-22.78269556,-92.73830546
2913,K2-133 b,K2-133,1,4,M1 V,3655,0.47,0.51,70.1493775,25.0098135,75.1703,1.224337606,0.436503591,23.13212037,64.0742537,31.78000978
2920,K2-136 b,K2-136,2,3,K5.5,4499,0.66,0.74,67.4128615,22.8825674,59.2474,1.176576391,0.399376142,20.96539079,50.39800071,23.03797561
2927,K2-137 b,K2-137,1,1,M3 V,3492,0.44,0.46,186.870426,-6.1952168,98.8765,3.261504208,-0.108126931,-97.593195,-11.75896571,-10.67039207
2928,K2-138 b,K2-138,1,6,K1 V,5378,0.86,0.93,348.9490311,-10.8497391,202.585,6.090309514,-0.18936367,195.2742622,-38.13777725,-38.13338049
2945,K2-139 b,K2-139,1,1,,5370,0.88,0.96,289.066707,-17.9107147,153.856,5.045165795,-0.312600943,47.82419629,-138.3680147,-47.31603835
2951,K2-14 b,K2-14,1,1,,3866,0.39,,178.0568745,2.5941222,364.048,3.107678716,0.045275974,-363.465809,12.33128481,16.47699688
2959,K2-140 b,K2-140,1,1,G6 V,5585,1.06,0.96,188.1373172,-9.6076115,347.917,3.283615631,-0.167684454,-339.5832644,-48.55552967,-58.06725358
2965,K2-141 b,K2-141,1,2,,4599,0.68,0.71,350.9170464,-1.1891827,61.8736,6.124657861,-0.020755154,61.08459638,-9.765528118,-1.284103869
2969,K2-146 b,K2-146,1,2,,,0.23,,130.0266951,19.0923416,79.3002,2.269393945,0.333224223,-48.19602685,57.38347011,25.93842852
2980,K2-147 b,K2-147,1,1,,,0.31,,293.8330329,-28.498475,90.5494,5.128353875,-0.497392221,32.1551029,-72.79168778,-43.2043214
2982,K2-148 b,K2-148,2,3,,4079,0.63,0.65,14.5176494,-0.193258,124.458,0.253380782,-0.003372988,120.4834288,31.19873249,-0.419794595
2988,K2-149 b,K2-149,1,1,M1.0 V,3745,0.57,0.59,9.8217519,7.2769939,123.676,0.171421909,0.127007503,120.8817444,20.92716698,15.66558389
2989,K2-15 b,K2-15,1,1,,,0.8,,178.1105741,4.2546649,493.992,3.108615951,0.074257911,-492.3627967,16.24238977,36.64911034
2995,K2-150 b,K2-150,1,1,M2.5 V,3499,0.44,0.46,18.3443908,8.9874328,102.483,0.320170019,0.156860294,96.08072953,31.85826631,16.00967112
2997,K2-151 b,K2-151,2,1,,,0.32,,19.3047733,9.5012663,69.4798,0.336931855,0.16582838,64.67365196,22.6544397,11.46898916
3001,K2-152 b,K2-152,1,1,,4044,0.61,0.63,181.6324078,-5.8274311,108.449,3.170083544,-0.10170786,-107.8447734,-3.073425309,-11.01110868
3004,K2-153 b,K2-153,1,1,M3.0 V,3720,0.49,0.51,183.8088709,2.0208765,143.125,3.208069992,0.035270949,-142.7200441,-9.501649413,5.047107914
3007,K2-154 b,K2-154,1,2,M0.0 V,3978,0.65,0.67,189.0015173,-2.6696217,129.356,3.298698768,-0.046593688,-127.6242173,-20.21715476,-6.024992596
3013,K2-155 b,K2-155,1,3,,4258,0.58,0.65,65.469614,21.3532633,72.7998,1.142660324,0.372684751,28.14988131,61.68256714,26.50765876
3019,K2-156 b,K2-156,1,1,,4460,0.62,0.64,182.699673,-6.2943552,150.21,3.188710836,-0.109857223,-149.1387918,-7.032353822,-16.46848142
3023,K2-157 b,K2-157,1,1,,5456,0.88,,183.7514959,-5.7820178,298.373,3.207068609,-0.100915248,-296.2188941,-19.4229791,-30.05930452
3025,K2-158 b,K2-158,1,2,,5503,0.95,0.92,179.9397081,-5.7216879,197.299,3.140540361,-0.099862293,-196.3159287,0.20658179,-19.66999929
3031,K2-159 b,K2-159,1,1,,5419,0.83,,180.5408896,-3.5809053,170.998,3.151032958,-0.062498588,-170.6565386,-1.611097535,-10.6801774
3049,K2-160 b,K2-160,1,1,,5649,0.91,0.98,184.0545174,-3.5530888,315.363,3.212357332,-0.062013098,-313.969045,-22.25507931,-19.54410451
3051,K2-161 b,K2-161,1,1,,4972,2.57,,183.7938491,-3.4956913,916.319,3.207807812,-0.061011323,-912.6097784,-60.51707128,-55.87115696
3053,K2-162 b,K2-162,1,1,,4885,0.73,0.78,186.0383865,-1.111479,124.433,3.24698238,-0.019398968,-123.7193184,-13.08723425,-2.413720404
3057,K2-163 b,K2-163,1,1,,4937,0.76,,182.3292517,-0.5393421,208.529,3.182245765,-0.009413295,-208.3474772,-8.474642298,-1.962916095
3059,K2-164 b,K2-164,1,1,,5791,2.2,1.18,171.933659,-0.0628488,375.67,3.000808445,-0.001096918,-371.9529952,52.71383542,-0.412079287
3063,K2-165 b,K2-165,1,3,,5185,0.8,0.83,184.9004881,0.968327,134.591,3.227122306,0.016900494,-134.0798611,-11.49584953,2.274546158
3073,K2-167 b,K2-167,1,1,,5908,1.83,1.02,336.5761233,-18.011665,80.8994,5.874361535,-0.314362858,70.59453898,-30.58391892,-25.01495332
3081,K2-169 b,K2-169,1,1,,5347,0.83,,337.0442461,-14.5993376,235.867,5.882531819,-0.25480651,210.1752815,-89.02262688,-59.4522045
3085,K2-17 b,K2-17,1,1,,4035.85,0.72,0.63,178.3296746,6.4123178,125.106,3.112439976,0.111916058,-124.2705022,3.62384458,13.97216035
3095,K2-170 b,K2-170,1,2,,5748,0.98,,335.4506923,-14.5933554,392.872,5.854719059,-0.254702101,345.8290239,-157.9629318,-98.98690204
3103,K2-171 b,K2-171,1,1,,5250,1.72,0.89,332.3407712,-13.4288624,606.128,5.800440696,-0.234377864,522.1838823,-273.6788407,-140.7658963
3107,K2-172 b,K2-172,1,2,,5569,0.87,,335.3081368,-12.5569819,249.742,5.852230996,-0.219160678,221.4799022,-101.8312685,-54.2965217
3116,K2-173 b,K2-173,1,1,,5580,0.84,0.88,60.3752402,15.6251296,228.641,1.053746728,0.272709958,108.844508,191.4083431,61.58267734
3119,K2-174 b,K2-174,1,1,,4246.81,0.76,0.66,60.7929729,16.347166,99.9293,1.061037539,0.28531187,46.79090893,83.69836731,28.12577375
3126,K2-175 b,K2-175,1,1,,5909,1.42,1.09,52.5035514,17.5841081,247.266,0.916359841,0.306900582,143.4810091,187.0120916,74.70041769
3128,K2-176 b,K2-176,1,1,,5428,0.86,0.94,58.2691796,17.9069486,247.302,1.016989036,0.312535212,123.76271,200.1480092,76.03844575
3131,K2-177 b,K2-177,1,1,,6063,1.21,1.21,55.2296156,20.7360891,492.167,0.963938637,0.361913029,262.4955017,378.0984059,174.2586094
3133,K2-178 b,K2-178,1,1,,5525,0.89,,52.8888524,22.4348186,214.753,0.923084612,0.391561452,119.7671436,158.2965253,81.95664951
3136,K2-179 b,K2-179,1,1,,,0.64,,58.7967878,23.7567524,190.81,1.026197537,0.414633549,90.47740188,149.377047,76.86867821
3140,K2-18 b,K2-18,1,2,,3440,0.36,,172.560141,7.5878315,38.0266,3.011742618,0.132432643,-37.37629369,4.880775581,5.021255576
3152,K2-180 b,K2-180,1,1,,,0.69,,126.4643579,10.246577,203.896,2.207219432,0.178836506,-119.2473436,161.3633715,36.26999021
3160,K2-181 b,K2-181,1,1,,5573,1.06,0.98,127.5541103,10.9101444,360.911,2.226239199,0.190417942,-216.0029361,280.9507274,68.30937195
3167,K2-182 b,K2-182,1,1,,,0.82,,130.180046,10.9829509,154.83,2.272070423,0.191688655,-98.0653372,116.1266655,29.49773024
