id,planet_name,starname,number_stars,number_planets,spectral_type,star_temp,star_radius,star_mass,right_ascencion,declination,distance,alpha,delta,X,Y,Z
11890,Kepler-155 b,Kepler-155,1,2,,4339.18,0.77,0.68,288.4957831,51.0819286,293.499,5.035201293,0.891547842,58.49130769,-174.8548583,228.3554432
11915,Kepler-1550 b,Kepler-1550,1,1,,5938,1.1,,287.7646113,38.2947076,1179.01,5.022439938,0.668368734,282.3238002,-881.2052767,730.6402071
11924,Kepler-1551 b,Kepler-1551,1,1,,6136,1.22,1.14,295.7855238,39.9078956,1463.72,5.16243127,0.696524176,488.4157846,-1010.988369,939.0573882
11933,Kepler-1552 b,Kepler-1552,1,1,,4871.52,1.11,0.79,291.6768669,38.8749152,769.096,5.090721679,0.678495267,221.1631175,-556.4121894,482.7017797
11941,Kepler-1553 b,Kepler-1553,1,1,,5072,0.82,0.82,291.9191348,39.0221769,692.594,5.094950052,0.681065468,200.8631973,-499.1811151,436.071828
11949,Kepler-1554 b,Kepler-1554,1,1,,5204,0.78,0.88,286.576016,41.7415762,946.847,5.001695036,0.72852794,201.5539371,-677.1344182,630.3841936
11958,Kepler-1555 b,Kepler-1555,1,1,,6208,1.01,1.07,287.6354587,45.7160327,2013.27,5.0201858,0.797895292,425.8690736,-1339.632334,1441.276113
11966,Kepler-1556 b,Kepler-1556,1,1,,5566.78,0.82,0.98,288.3969751,40.2131892,944.54,5.033476768,0.701852554,227.640109,-684.4320552,609.8266591
11975,Kepler-1557 b,Kepler-1557,1,1,,5904.54,1.1,1.07,293.8813592,46.8388172,1380.16,5.129197328,0.817491578,382.2144261,-863.274025,1006.73319
11983,Kepler-1558 b,Kepler-1558,1,1,,5001.44,0.77,0.83,286.8194349,46.9117837,325.737,5.005943498,0.818765084,64.38721303,-212.9995941,237.8866387
11991,Kepler-1559 b,Kepler-1559,1,1,,5406,0.82,0.93,292.2866565,42.0725948,614.827,5.101364516,0.734305304,173.0793349,-422.2911264,411.9781406
11999,Kepler-156 b,Kepler-156,1,2,,5075,0.77,0.8,290.2964214,37.7494271,443.483,5.06662836,0.658851794,121.6359484,-328.8878245,271.5044498
12021,Kepler-1560 b,Kepler-1560,1,1,,5755,0.99,0.91,292.7846013,43.21601,502.497,5.110055292,0.754261664,141.8207328,-337.6321721,344.0852091
12029,Kepler-1561 b,Kepler-1561,1,1,,5692,1,1.01,296.9235822,43.5664628,839.076,5.182294136,0.760378219,275.2915955,-542.0762943,578.2874393
12037,Kepler-1562 b,Kepler-1562,1,1,,5771.76,1.76,1.03,294.4556567,46.7435353,2060.72,5.139220711,0.815828595,584.6100875,-1285.445215,1500.809302
12046,Kepler-1563 b,Kepler-1563,1,1,,5757,0.88,0.97,288.5735936,51.4727698,616.697,5.036559343,0.898369308,122.3547495,-364.1248313,482.4495956
12053,Kepler-1564 b,Kepler-1564,1,1,,5576,0.85,0.95,290.5861316,46.6427486,908.805,5.071684757,0.814069535,219.385202,-584.0941072,660.7803986
12062,Kepler-1565 b,Kepler-1565,1,1,,4872,0.73,0.79,297.9529793,40.8067876,629.93,5.200260505,0.712212801,223.5008789,-421.1775035,411.6657291
12070,Kepler-1566 b,Kepler-1566,1,1,,5068,0.78,0.85,283.5875459,40.5749018,466.586,4.949536394,0.70816563,83.25909813,-344.4794685,303.4869252
12078,Kepler-1567 b,Kepler-1567,1,1,,5655,0.93,0.95,286.695153,40.2918894,1206.11,5.003774369,0.703226132,264.2891791,-881.192542,779.9694006
12087,Kepler-1568 b,Kepler-1568,1,1,,5954,1.26,1.09,289.1826808,47.8733301,916.313,5.04718992,0.835547234,201.9581534,-580.5097611,679.5960827
12096,Kepler-1569 b,Kepler-1569,1,1,,6185,1.09,1.04,292.2046748,37.2212065,945.454,5.099933665,0.649632605,284.5221589,-697.0376931,571.8993457
12103,Kepler-157 b,Kepler-157,1,3,,5767,1.01,0.92,291.0972257,38.8756049,773.713,5.080605032,0.678507304,216.8145825,-561.969141,485.6067625
12133,Kepler-1570 b,Kepler-1570,1,1,,5456,2.15,1.07,299.8617842,45.8274232,918.995,5.233575435,0.799839423,318.8491577,-555.352522,659.1438393
12142,Kepler-1571 b,Kepler-1571,1,1,,5718,1.48,0.94,300.9354067,45.5964836,675.303,5.252313683,0.795808766,242.9061235,-405.297963,482.4565454
12150,Kepler-1572 b,Kepler-1572,1,1,,6157,1.39,1.02,281.8973341,46.7227061,946.602,4.920036633,0.815465057,133.7812918,-634.9841515,689.1683682
12158,Kepler-1573 b,Kepler-1573,1,1,,5808,1,1.01,292.9883129,49.4849664,1455.36,5.11361073,0.863675594,369.2474389,-870.3860289,1106.416386
12166,Kepler-1574 b,Kepler-1574,1,1,,5710,1.22,1.02,292.1586689,49.6377914,1384.16,5.099130711,0.866342893,338.10003,-830.2002281,1054.682349
12174,Kepler-1575 b,Kepler-1575,1,1,,5701,0.98,1.02,293.7432102,45.7615507,1246.92,5.126786173,0.798689731,350.2585301,-796.2790243,893.3466091
12182,Kepler-1576 b,Kepler-1576,1,1,,5839,1.23,1.04,289.0739641,40.3660239,460.91,5.045292455,0.704520023,114.7608235,-331.8971704,298.5167495
12190,Kepler-1577 b,Kepler-1577,1,1,,4934,1.76,0.95,292.9552704,47.5730433,510.029,5.11303403,0.830306241,134.1997279,-316.8422383,376.4717916
12198,Kepler-1578 b,Kepler-1578,1,1,,6050,0.89,,288.3021104,47.7756227,1064.05,5.031821067,0.833841918,224.554607,-678.9065218,787.9489613
12206,Kepler-1579 b,Kepler-1579,1,1,,,,,293.288022,43.5149061,,5.118841641,0.759478385,,,
12213,Kepler-158 b,Kepler-158,1,2,,4720,0.71,0.75,284.0323723,39.7815365,315.177,4.957300079,0.694318793,58.7287493,-234.9824712,201.6698132
12235,Kepler-1580 b,Kepler-1580,1,1,,6102,1.2,0.98,285.9687099,41.3635264,1002.02,4.991095545,0.721929726,206.8976889,-723.0280076,662.1691075
12244,Kepler-1581 b,Kepler-1581,1,1,,5989,1.22,1.07,287.3713199,39.6036225,493.175,5.015575708,0.691213608,113.4474067,-362.6471572,314.3856007
12252,Kepler-1582 b,Kepler-1582,1,1,,3187,0.22,,289.3765441,41.1580845,78.8906,5.050573473,0.718344088,19.70625943,-56.03216179,51.92096834
12260,Kepler-1583 b,Kepler-1583,1,1,,5529.03,1.07,0.97,286.3869335,47.0165188,403.933,4.998394924,0.820593056,77.69558615,-264.2093991,295.4973059
12268,Kepler-1584 b,Kepler-1584,1,1,,6418,1.17,1.24,287.7626791,43.2743929,1416.31,5.022406215,0.755280638,314.5890729,-982.0274772,970.8706224
