,xsectmin,satno,diameter,mass,span,cosparId,xsectavg,name,vimpelId,objectClass,depth,height,shape,xsectmax,width
82, None, 49169, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
83, None, 49168, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
84, None, 49167, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
85, None, 49166, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
86, None, 49165, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
87, None, 49164, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
88, None, 49163, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
89, None, 49162, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
90, None, 49161, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
91, None, 49160, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
92, None, 49159, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
93, None, 49158, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
94, None, 49157, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
95, None, 49156, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
96, None, 49155, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
97, None, 49154, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
98, None, 49127, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
99, None, 49125, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
100,attributes,,,,,,,,,,,,,,
101, 1.0, 48983, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0265, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
102, 1.0, 48982, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0264, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
103, 1.0, 48981, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0263, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
104, 1.0, 48980, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0262, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
105, 1.0, 48979, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0261, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
106, 1.0, 48978, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0260, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
107, 1.0, 48977, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0259, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
108, 1.0, 48976, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0258, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
109, 1.0, 48975, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0257, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
110, 1.0, 48974, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0256, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
111, 1.0, 48973, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0255, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
112, 1.0, 48972, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0254, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
113, 1.0, 48971, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0253, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
114, 1.0, 48970, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0252, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
115, 1.0, 48969, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0251, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
116, 1.0, 48968, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0250, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
117, 1.0, 49002, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0284, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
118, 1.0, 49001, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0283, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
